held_out_source,seed,rows,campaigns,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
ctid,42,263,10,0.15759475494885627,0.424293687195206,0.09970671795376528,0.18109633932020808
ctid,43,263,10,0.16071576421189265,0.4327826515415557,0.102173741592266,0.18520804538437594
ctid,44,263,10,0.16236271910527555,0.4327826515415557,0.102173741592266,0.18520804538437594
ctid,45,263,10,0.15734062772604487,0.424293687195206,0.09883715273637397,0.17964706395788924
ctid,46,263,10,0.1604638081395465,0.4375957595804702,0.10313636320004889,0.18681241473068075
attack_flow,42,412,35,0.17651202276060077,0.4543381221952651,0.10422425193853767,0.21574486360200645
attack_flow,43,412,35,0.17651202276060077,0.4543381221952651,0.10422425193853767,0.21574486360200645
attack_flow,44,412,35,0.17651202276060077,0.4543381221952651,0.10422425193853767,0.21574486360200645
attack_flow,45,412,35,0.17651202276060077,0.4543381221952651,0.10422425193853767,0.21574486360200645
attack_flow,46,412,35,0.17651202276060077,0.4543381221952651,0.10422425193853767,0.21574486360200645
stockpile,42,109,27,0.06442747172129776,0.2047119547119547,0.040942390942390945,0.11352073852073852
stockpile,43,109,27,0.05965358267811073,0.2047119547119547,0.040942390942390945,0.11352073852073852
stockpile,44,109,27,0.06802449826393707,0.2047119547119547,0.040942390942390945,0.11352073852073852
stockpile,45,109,27,0.06514480668507486,0.2047119547119547,0.040942390942390945,0.11352073852073852
stockpile,46,109,27,0.05965358267811073,0.2047119547119547,0.040942390942390945,0.11352073852073852
