held_out_source,inner_validation_source,seed,epoch,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
attack_flow,ctid,42,20,0.0,0.12004516057842711,0.11253265700159876,1,109,263
attack_flow,ctid,42,20,0.1,0.111418408415183,0.10975103207724302,0,109,263
attack_flow,ctid,42,20,0.2,0.11073254032798283,0.10967387678934737,0,109,263
attack_flow,ctid,42,20,0.3,0.10921578149247083,0.09956761282603825,0,109,263
attack_flow,ctid,42,20,0.4,0.10781971419637881,0.10388412249394863,0,109,263
attack_flow,ctid,42,20,0.5,0.1072013552491747,0.0964069787336766,0,109,263
attack_flow,ctid,42,20,0.6,0.10911563052900056,0.09452215008746971,0,109,263
attack_flow,ctid,42,20,0.7,0.11089612821300776,0.09412729178748613,0,109,263
attack_flow,ctid,42,20,0.8,0.11134908425653674,0.09491730152592877,0,109,263
attack_flow,ctid,42,20,0.9,0.1071041231462897,0.09144571866484387,0,109,263
attack_flow,ctid,42,20,1.0,0.11087016178992246,0.09150092132437845,0,109,263
attack_flow,ctid,42,40,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,42,40,0.1,0.11939487336194725,0.1119350674715146,0,109,263
attack_flow,ctid,42,40,0.2,0.11781761511680763,0.11217479788064748,0,109,263
attack_flow,ctid,42,40,0.3,0.1176816951374666,0.10419524990638544,0,109,263
attack_flow,ctid,42,40,0.4,0.11613341897602299,0.10339009318998553,0,109,263
attack_flow,ctid,42,40,0.5,0.11722190854692169,0.1018533038955582,0,109,263
attack_flow,ctid,42,40,0.6,0.11898197607580223,0.09908438150979373,0,109,263
attack_flow,ctid,42,40,0.7,0.11893174495009011,0.09391545142649241,0,109,263
attack_flow,ctid,42,40,0.8,0.11979747532332079,0.09472465875009678,0,109,263
attack_flow,ctid,42,40,0.9,0.1289382048343457,0.09151134883118534,0,109,263
attack_flow,ctid,42,40,1.0,0.12597919148999806,0.09052523341108018,0,109,263
attack_flow,ctid,42,60,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,42,60,0.1,0.11302599334225569,0.11067046623215002,0,109,263
attack_flow,ctid,42,60,0.2,0.11144873509711609,0.11046010623385741,0,109,263
attack_flow,ctid,42,60,0.3,0.11144873509711609,0.11020238723499169,0,109,263
attack_flow,ctid,42,60,0.4,0.11034086210724366,0.10643406449454762,0,109,263
attack_flow,ctid,42,60,0.5,0.10919084109322577,0.09879623591257738,0,109,263
attack_flow,ctid,42,60,0.6,0.11237753795848562,0.0953415404683295,0,109,263
attack_flow,ctid,42,60,0.7,0.10974715528959407,0.09203280212418656,0,109,263
attack_flow,ctid,42,60,0.8,0.11241318162206308,0.09192154909329014,0,109,263
attack_flow,ctid,42,60,0.9,0.11210862975314217,0.08780900613762649,0,109,263
attack_flow,ctid,42,60,1.0,0.11184616115657353,0.08838031970629541,0,109,263
attack_flow,ctid,42,80,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,42,80,0.1,0.11302599334225569,0.1108188557275156,0,109,263
attack_flow,ctid,42,80,0.2,0.11255304461854146,0.1117347328767194,0,109,263
attack_flow,ctid,42,80,0.3,0.11144873509711609,0.11140121760136927,0,109,263
attack_flow,ctid,42,80,0.4,0.1111582392854118,0.10858605579402217,0,109,263
attack_flow,ctid,42,80,0.5,0.10646484105613865,0.10379023169797141,0,109,263
attack_flow,ctid,42,80,0.6,0.10947205259018873,0.09694332651426621,0,109,263
attack_flow,ctid,42,80,0.7,0.10951142290166631,0.09636506835709469,0,109,263
attack_flow,ctid,42,80,0.8,0.1104680228114993,0.0946124686920777,0,109,263
attack_flow,ctid,42,80,0.9,0.10422957586881454,0.09256266806201277,0,109,263
attack_flow,ctid,42,80,1.0,0.1008603615284556,0.0964203780241733,0,109,263
attack_flow,ctid,42,100,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,42,100,0.1,0.11368444605078518,0.11029036675853296,0,109,263
attack_flow,ctid,42,100,0.2,0.11321149732707095,0.110123115666518,0,109,263
attack_flow,ctid,42,100,0.3,0.11231051290883827,0.10879720365406612,0,109,263
attack_flow,ctid,42,100,0.4,0.11187485886267697,0.09977821719689497,0,109,263
attack_flow,ctid,42,100,0.5,0.11107677412699553,0.09543846466783791,0,109,263
attack_flow,ctid,42,100,0.6,0.11068343751419411,0.09521466013431981,0,109,263
attack_flow,ctid,42,100,0.7,0.10511285465780043,0.0953992390918956,0,109,263
attack_flow,ctid,42,100,0.8,0.10550178400092527,0.08825749174803613,0,109,263
attack_flow,ctid,42,100,0.9,0.10429158760165105,0.0891995349945925,0,109,263
attack_flow,ctid,42,100,1.0,0.09712097095264391,0.09003348191363365,0,109,263
attack_flow,ctid,43,20,0.0,0.12004516057842711,0.11253265700159876,1,109,263
attack_flow,ctid,43,20,0.1,0.11806398005045189,0.10975103207724302,0,109,263
