held_out_source,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
ctid,transition_visibility,all_seen,17,8,0,0.3933777519855295,0.6979166666666666,0.18958333333333333,0.5225694444444444
ctid,transition_visibility,all_unseen,117,10,1,0.03141415211232461,0.10490601503759397,0.025838345864661653,0.04711152882205514
ctid,transition_visibility,mixed,129,10,1,0.22045060617425377,0.6254841600607854,0.1405852561267422,0.23839848820769874
ctid,target_label_visibility,all_seen,207,10,1,0.16539625340788117,0.44027950310559005,0.10478007644529383,0.19323541434410998
ctid,target_label_visibility,mixed,56,9,1,0.15328022006680195,0.42941902687000727,0.095760348583878,0.15960058097312999
ctid,text_length,ge40,218,10,1,0.1566874388971251,0.42243503382717246,0.09839387161258081,0.18009662283553562
ctid,text_length,lt40,45,9,1,0.2093840687701561,0.5493827160493827,0.1380246913580247,0.248559670781893
ctid,target_size,1,8,8,0,0.1875,0.25,0.05,0.25
ctid,target_size,2,24,10,1,0.19914966866913675,0.4066666666666666,0.096,0.24
ctid,target_size,3,231,10,1,0.15261813399980634,0.4329458876485246,0.10148895814125022,0.16914826356875037
attack_flow,transition_visibility,all_seen,24,13,1,0.3031292917444748,0.5833333333333333,0.16153846153846155,0.4113247863247863
attack_flow,transition_visibility,all_unseen,261,35,1,0.12354536770908811,0.35143269428983714,0.07761306947021233,0.16637342815914244
attack_flow,transition_visibility,mixed,127,32,1,0.2769811055925115,0.7555574633699633,0.1635433836996337,0.30464362026862024
attack_flow,target_label_visibility,all_seen,231,33,1,0.22649396863003218,0.549987772553822,0.129831132239079,0.3190662903910945
attack_flow,target_label_visibility,all_unseen,9,7,0,0.0,0.0,0.0,0.0
attack_flow,target_label_visibility,mixed,172,32,1,0.14050723356237171,0.4369701479076479,0.09114402958152959,0.16134184102934102
attack_flow,text_length,ge40,379,35,1,0.1741278962775199,0.4472398268594642,0.102067665220916,0.21230089078939143
attack_flow,text_length,lt40,33,18,1,0.24833588676735602,0.6111111111111112,0.1362962962962963,0.2904320987654321
attack_flow,target_size,1,37,34,1,0.16823823256638984,0.3382352941176471,0.06764705882352942,0.3382352941176471
attack_flow,target_size,2,84,34,1,0.19583884192639567,0.46093514328808444,0.10003016591251886,0.25007541478129713
attack_flow,target_size,3,291,35,1,0.17771505253051167,0.504087753982712,0.11783339349725906,0.1963889891620984
stockpile,transition_visibility,all_seen,31,20,1,0.0714584480985527,0.2,0.04,0.1392857142857143
stockpile,transition_visibility,all_unseen,36,17,1,0.06013235540128329,0.18382352941176472,0.03676470588235294,0.11519607843137254
stockpile,transition_visibility,mixed,42,17,1,0.08451696025462112,0.3303921568627451,0.06607843137254901,0.13333333333333333
stockpile,target_label_visibility,all_seen,100,27,1,0.06425068802992674,0.20642135642135642,0.041284271284271284,0.1148027898027898
stockpile,target_label_visibility,all_unseen,1,1,0,0.0,0.0,0.0,0.0
stockpile,target_label_visibility,mixed,8,3,0,0.0,0.0,0.0,0.0
stockpile,text_length,ge40,42,21,1,0.07678634295873218,0.19444444444444442,0.038888888888888896,0.14682539682539683
stockpile,text_length,lt40,67,17,1,0.08616480229917366,0.30490196078431375,0.06098039215686275,0.14862278244631186
stockpile,target_size,1,29,24,1,0.10666928689952081,0.20833333333333334,0.041666666666666664,0.20833333333333334
stockpile,target_size,2,40,20,1,0.0854787209714219,0.2925,0.05850000000000001,0.14625
stockpile,target_size,3,40,12,1,0.10113026775065136,0.47222222222222227,0.09444444444444444,0.1574074074074074
