held_out_source,campaign_id,rows,ndcg5,hit5,precision5,recall5
attack_flow,Black Basta Ransomware,24,0.18801234387089305,0.4583333333333333,0.11666666666666668,0.22916666666666666
attack_flow,CISA AA22-138B VMWare Workspace (Alt),8,0.47888372458517886,1.0,0.275,0.6041666666666666
attack_flow,CISA AA22-138B VMWare Workspace (TA1),8,0.23568248519643592,0.625,0.125,0.20833333333333331
attack_flow,CISA AA22-138B VMWare Workspace (TA2),10,0.6240870419971362,1.0,0.26,0.55
attack_flow,CISA Iranian APT,21,0.36041433160124964,0.9047619047619048,0.2285714285714286,0.44444444444444436
attack_flow,Cobalt Kitty Campaign,11,0.22995960528316403,0.5454545454545454,0.16363636363636364,0.36363636363636365
attack_flow,Conti CISA Alert,5,0.04692787260227565,0.2,0.04,0.06666666666666667
attack_flow,Conti PWC,3,0.07821312100379275,0.3333333333333333,0.06666666666666667,0.1111111111111111
attack_flow,Conti Ransomware,14,0.25924423791827483,0.6428571428571429,0.14285714285714285,0.32142857142857145
attack_flow,DFIR - BumbleBee Round 2,12,0.14724003843377229,0.5,0.11666666666666668,0.20833333333333334
attack_flow,Equifax Breach,8,0.09671320180863541,0.25,0.05,0.1875
attack_flow,FIN13 Case 1,28,0.09895008419712374,0.2857142857142857,0.0642857142857143,0.1130952380952381
attack_flow,FIN13 Case 2,13,0.07195801500737654,0.23076923076923078,0.04615384615384616,0.08974358974358973
attack_flow,Gootloader,28,0.14385205204059606,0.39285714285714285,0.07857142857142858,0.22023809523809526
attack_flow,Hancitor DLL,18,0.31355529807201626,0.8333333333333334,0.1888888888888889,0.32407407407407407
attack_flow,Ivanti Vulnerabilities,5,0.1992757029865651,0.6,0.16,0.26666666666666666
attack_flow,JP Morgan Breach,8,0.059299428192324054,0.25,0.05,0.125
attack_flow,MITRE NERVE,7,0.20216100763677208,0.5714285714285714,0.1142857142857143,0.3095238095238095
attack_flow,Maastricht University Ransomware,10,0.28580691743444764,0.7,0.2,0.35
attack_flow,Mac Malware Steals Crypto,3,0.312852484015171,0.6666666666666666,0.13333333333333333,0.2222222222222222
attack_flow,Marriott Breach,4,0.21467247075380402,0.75,0.15000000000000002,0.4583333333333333
attack_flow,Muddy Water,8,0.2769753375142566,0.5,0.125,0.2916666666666667
attack_flow,NotPetya,13,0.06560983577389667,0.23076923076923078,0.04615384615384616,0.07692307692307693
attack_flow,OceanLotus,20,0.19105717278870785,0.55,0.13,0.275
attack_flow,REvil,18,0.01644899505365918,0.05555555555555555,0.011111111111111112,0.018518518518518517
attack_flow,Ragnar Locker,12,0.16154645433712608,0.3333333333333333,0.06666666666666667,0.13888888888888887
attack_flow,SWIFT Heist,4,0.17769707234595608,0.75,0.15000000000000002,0.29166666666666663
attack_flow,SearchAwesome Adware,10,0.2659165496040571,0.7,0.14,0.31666666666666665
attack_flow,Shamoon,18,0.141583387589685,0.3333333333333333,0.06666666666666668,0.1111111111111111
attack_flow,SolarWinds,16,0.04451644165716226,0.1875,0.037500000000000006,0.0625
attack_flow,Sony Malware,12,0.03910656050189638,0.08333333333333333,0.016666666666666666,0.027777777777777776
attack_flow,Target Breach,8,0.025263418312568446,0.125,0.025,0.041666666666666664
attack_flow,Tesla Kubernetes Breach,3,0.0,0.0,0.0,0.0
attack_flow,Uber Breach,6,0.0,0.0,0.0,0.0
attack_flow,WhisperGate,16,0.12443810650505095,0.3125,0.0625,0.125
ctid,apt29::unknown,63,0.06808122863979939,0.22539682539682537,0.04507936507936509,0.07513227513227513
ctid,carbanak::unknown,19,0.1895425913451464,0.5578947368421052,0.12210526315789476,0.23859649122807017
ctid,fin6::unknown,16,0.12134065235837654,0.4375,0.08750000000000001,0.16666666666666666
ctid,fin7::unknown,8,0.023206862916248953,0.125,0.025,0.041666666666666664
ctid,menu_pass::unknown,10,0.10021073465005474,0.3,0.06000000000000001,0.1
ctid,oilrig::unknown,35,0.2167239619619404,0.5142857142857142,0.12000000000000001,0.2238095238095238
