held_out_source,inner_validation_source,seed,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,validation_rows
ctid,attack_flow,42,0.0,0.06818949184885319,0.10532388305352063,0,412
ctid,attack_flow,42,0.1,0.1161829928080953,0.1392092355778405,0,412
ctid,attack_flow,42,0.2,0.12222549566280093,0.14026803325215592,0,412
ctid,attack_flow,42,0.3,0.16807487931807863,0.16316747551041685,0,412
ctid,attack_flow,42,0.4,0.19109456982792303,0.17757609220611853,0,412
ctid,attack_flow,42,0.5,0.2099241596658249,0.19736790472765417,0,412
ctid,attack_flow,42,0.6,0.22491929746205042,0.1994465080800547,0,412
ctid,attack_flow,42,0.7,0.23779060290300888,0.20628475956110276,0,412
ctid,attack_flow,42,0.8,0.23913031092100995,0.2067036934998399,0,412
ctid,attack_flow,42,0.9,0.24010145250687326,0.20710496532450723,1,412
ctid,attack_flow,42,1.0,0.24010145250687326,0.20710496532450723,0,412
ctid,attack_flow,43,0.0,0.07973179361950655,0.10532388305352063,0,412
ctid,attack_flow,43,0.1,0.12059392045428784,0.1392092355778405,0,412
ctid,attack_flow,43,0.2,0.12594291366217522,0.14026803325215592,0,412
ctid,attack_flow,43,0.3,0.16908823315431024,0.16316747551041685,0,412
ctid,attack_flow,43,0.4,0.18959920106749611,0.17757609220611853,0,412
ctid,attack_flow,43,0.5,0.20961882200189455,0.19736790472765417,0,412
ctid,attack_flow,43,0.6,0.2255051073915856,0.1994465080800547,0,412
ctid,attack_flow,43,0.7,0.23779060290300888,0.20628475956110276,0,412
ctid,attack_flow,43,0.8,0.23913031092100995,0.2067036934998399,0,412
ctid,attack_flow,43,0.9,0.24010145250687326,0.20710496532450723,1,412
ctid,attack_flow,43,1.0,0.24010145250687326,0.20710496532450723,0,412
ctid,attack_flow,44,0.0,0.07787324920751497,0.10532388305352063,0,412
ctid,attack_flow,44,0.1,0.11987154481887127,0.1392092355778405,0,412
ctid,attack_flow,44,0.2,0.12712799820466694,0.14026803325215592,0,412
ctid,attack_flow,44,0.3,0.16893544348842862,0.16316747551041685,0,412
ctid,attack_flow,44,0.4,0.19187858726541002,0.17757609220611853,0,412
ctid,attack_flow,44,0.5,0.2098766142480067,0.19736790472765417,0,412
ctid,attack_flow,44,0.6,0.22506343942003446,0.1994465080800547,0,412
ctid,attack_flow,44,0.7,0.23773940136552127,0.20628475956110276,0,412
ctid,attack_flow,44,0.8,0.2391058281186728,0.2067036934998399,0,412
ctid,attack_flow,44,0.9,0.24010145250687326,0.20710496532450723,1,412
ctid,attack_flow,44,1.0,0.24010145250687326,0.20710496532450723,0,412
ctid,attack_flow,45,0.0,0.08215207485401285,0.10532388305352063,0,412
ctid,attack_flow,45,0.1,0.12300269470680834,0.1392092355778405,0,412
ctid,attack_flow,45,0.2,0.12806790498979742,0.14026803325215592,0,412
ctid,attack_flow,45,0.3,0.16925551019430035,0.16316747551041685,0,412
ctid,attack_flow,45,0.4,0.18962930707508716,0.17757609220611853,0,412
ctid,attack_flow,45,0.5,0.20976511378273857,0.19736790472765417,0,412
ctid,attack_flow,45,0.6,0.22565139917242963,0.1994465080800547,0,412
ctid,attack_flow,45,0.7,0.23780921373899316,0.20628475956110276,0,412
ctid,attack_flow,45,0.8,0.23913031092100995,0.2067036934998399,0,412
ctid,attack_flow,45,0.9,0.24010145250687326,0.20710496532450723,1,412
ctid,attack_flow,45,1.0,0.24010145250687326,0.20710496532450723,0,412
ctid,attack_flow,46,0.0,0.07464485880698872,0.10532388305352063,0,412
ctid,attack_flow,46,0.1,0.11817071320579993,0.1392092355778405,0,412
ctid,attack_flow,46,0.2,0.12873668395974966,0.14026803325215592,0,412
ctid,attack_flow,46,0.3,0.17077239343151293,0.16316747551041685,0,412
ctid,attack_flow,46,0.4,0.19229430182760965,0.17757609220611853,0,412
ctid,attack_flow,46,0.5,0.21110591014280355,0.19736790472765417,0,412
ctid,attack_flow,46,0.6,0.22583729640963437,0.1994465080800547,0,412
ctid,attack_flow,46,0.7,0.2379216625691865,0.20628475956110276,0,412
ctid,attack_flow,46,0.8,0.23913031092100995,0.2067036934998399,0,412
ctid,attack_flow,46,0.9,0.24010145250687326,0.20710496532450723,1,412
ctid,attack_flow,46,1.0,0.24010145250687326,0.20710496532450723,0,412
