held_out_source,method,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
attack_flow,HM,transition_visibility,all_unseen,261,35,1,0.09842669294982666,0.29069659378903073,0.05927129154692181,0.12108910028657928
attack_flow,HM,transition_visibility,mixed,127,32,1,0.23609622972230132,0.6341363324175824,0.13123660714285715,0.24438539758852257
attack_flow,HM,target_label_visibility,all_seen,231,33,1,0.17806764570476818,0.45908393881349985,0.09543707585667227,0.22298255481096477
attack_flow,HM,target_label_visibility,all_unseen,9,7,0,0.0,0.0,0.0,0.0
attack_flow,HM,target_label_visibility,mixed,172,32,1,0.12787204122574078,0.3596511994949495,0.0731802398989899,0.12860412157287157
attack_flow,HM,text_length,ge40,379,35,1,0.14813523501811693,0.40514187321352296,0.08458828642486316,0.1690462389593305
attack_flow,HM,text_length,lt40,33,18,1,0.18241542036493755,0.47962962962962963,0.09592592592592593,0.21203703703703702
attack_flow,HM,target_size,1,37,34,1,0.11744696069013262,0.2088235294117647,0.04176470588235295,0.2088235294117647
attack_flow,HM,target_size,2,84,34,1,0.1680335558384571,0.37434389140271496,0.07800603318250376,0.19501508295625944
attack_flow,HM,target_size,3,291,35,1,0.15481513901842656,0.46708156689249125,0.09706024004007198,0.16176706673345329
stockpile,HM+B0,transition_visibility,all_seen,31,20,1,0.20812814583261371,0.325,0.07128571428571429,0.25
stockpile,HM+B0,transition_visibility,all_unseen,36,17,1,0.12359312300545285,0.2647058823529412,0.06382352941176471,0.16151960784313724
stockpile,HM+B0,transition_visibility,mixed,42,17,1,0.18361589541005544,0.3907843137254902,0.09852941176470588,0.2027614379084967
stockpile,HM+B0,target_label_visibility,all_seen,100,27,1,0.15995524553386334,0.2979127662460996,0.07265740432407099,0.20483890595001705
stockpile,HM+B0,target_label_visibility,all_unseen,1,1,0,0.0,0.0,0.0,0.0
stockpile,HM+B0,target_label_visibility,mixed,8,3,0,0.03674680821969372,0.1111111111111111,0.022222222222222223,0.037037037037037035
stockpile,HM+B0,text_length,ge40,42,21,1,0.20664673605521575,0.3603174603174603,0.08476190476190476,0.2706349206349207
stockpile,HM+B0,text_length,lt40,67,17,1,0.18780592494462559,0.33180995475113123,0.0804628312863607,0.2125199310493428
stockpile,HM+B0,target_size,1,29,24,1,0.18366648258647242,0.26666666666666666,0.05333333333333334,0.26666666666666666
stockpile,HM+B0,target_size,2,40,20,1,0.19553550698199076,0.3975,0.09983333333333334,0.24958333333333335
stockpile,HM+B0,target_size,3,40,12,1,0.18722336001056505,0.4313582251082251,0.11231060606060607,0.18718434343434343
stockpile,B0,transition_visibility,all_seen,31,20,1,0.2182196076869606,0.325,0.08142857142857143,0.2636904761904762
stockpile,B0,transition_visibility,all_unseen,36,17,1,0.17893027624945082,0.3622549019607843,0.08568627450980393,0.20776143790849674
stockpile,B0,transition_visibility,mixed,42,17,1,0.18345340195415472,0.3509803921568628,0.09980392156862745,0.1986111111111111
stockpile,B0,target_label_visibility,all_seen,100,27,1,0.17923209822097888,0.2918837335504002,0.07717387550720885,0.20534321645432757
stockpile,B0,target_label_visibility,all_unseen,1,1,0,0.0,0.0,0.0,0.0
stockpile,B0,target_label_visibility,mixed,8,3,0,0.10066949283718692,0.3333333333333333,0.06666666666666667,0.1111111111111111
stockpile,B0,text_length,ge40,42,21,1,0.21797561966540113,0.35714285714285715,0.08650793650793652,0.24603174603174605
stockpile,B0,text_length,lt40,67,17,1,0.20217662023806526,0.331184012066365,0.08823421676362853,0.22724628312863607
stockpile,B0,target_size,1,29,24,1,0.19031372355449727,0.25,0.05000000000000001,0.25
stockpile,B0,target_size,2,40,20,1,0.1637181258420774,0.315,0.08466666666666667,0.21166666666666667
stockpile,B0,target_size,3,40,12,1,0.2547038586023911,0.5263798701298702,0.1547348484848485,0.25789141414141414
stockpile,HM,transition_visibility,all_seen,31,20,1,0.10846108909083481,0.21857142857142858,0.04371428571428572,0.14857142857142858
stockpile,HM,transition_visibility,all_unseen,36,17,1,0.046971180873197155,0.125,0.025,0.09558823529411764
stockpile,HM,transition_visibility,mixed,42,17,1,0.19220525648690656,0.6073529411764705,0.12382352941176474,0.2611928104575163
stockpile,HM,target_label_visibility,all_seen,100,27,1,0.10868770890122131,0.3040536623869957,0.06130455963789298,0.1603638131415909
stockpile,HM,target_label_visibility,all_unseen,1,1,0,0.0,0.0,0.0,0.0
stockpile,HM,target_label_visibility,mixed,8,3,0,0.0,0.0,0.0,0.0
stockpile,HM,text_length,ge40,42,21,1,0.1431675684008098,0.30396825396825394,0.0607936507936508,0.2
stockpile,HM,text_length,lt40,67,17,1,0.10934489444725108,0.3539808230984702,0.07197263520792933,0.1698682036917331
stockpile,HM,target_size,1,29,24,1,0.12621624559837907,0.20833333333333334,0.041666666666666664,0.20833333333333334
stockpile,HM,target_size,2,40,20,1,0.17944547412126063,0.5183333333333333,0.10366666666666668,0.25916666666666666
stockpile,HM,target_size,3,40,12,1,0.12937354150970612,0.5478896103896104,0.11291125541125542,0.1881854256854257
