sample_id,source,campaign_id,prefix_len,prefix,raw_prefix,true_label,target_raw_id,flow_file
attack_flow::MITRE NERVE::0005,attack_flow,MITRE NERVE,5,"[""T1190"",""T1505"",""T1563"",""T1078"",""T1021""]","[""T1190"",""T1505.003"",""T1563.002"",""T1078"",""T1021.001""]",T1119,T1119,MITRE NERVE.afb
attack_flow::MITRE NERVE::0006,attack_flow,MITRE NERVE,6,"[""T1190"",""T1505"",""T1563"",""T1078"",""T1021"",""T1119""]","[""T1190"",""T1505.003"",""T1563.002"",""T1078"",""T1021.001"",""T1119""]",T1005,T1005,MITRE NERVE.afb
attack_flow::MITRE NERVE::0007,attack_flow,MITRE NERVE,7,"[""T1190"",""T1505"",""T1563"",""T1078"",""T1021"",""T1119"",""T1005""]","[""T1190"",""T1505.003"",""T1563.002"",""T1078"",""T1021.001"",""T1119"",""T1005""]",T1041,T1041,MITRE NERVE.afb
attack_flow::Maastricht University Ransomware::0001,attack_flow,Maastricht University Ransomware,1,"[""T1566""]","[""T1566.001""]",T1204,T1204.002,Maastricht University Ransomware.afb
attack_flow::Maastricht University Ransomware::0002,attack_flow,Maastricht University Ransomware,2,"[""T1566"",""T1204""]","[""T1566.001"",""T1204.002""]",T1059,T1059.004,Maastricht University Ransomware.afb
attack_flow::Maastricht University Ransomware::0003,attack_flow,Maastricht University Ransomware,3,"[""T1566"",""T1204"",""T1059""]","[""T1566.001"",""T1204.002"",""T1059.004""]",T1210,T1210,Maastricht University Ransomware.afb
attack_flow::Maastricht University Ransomware::0004,attack_flow,Maastricht University Ransomware,4,"[""T1566"",""T1204"",""T1059"",""T1210""]","[""T1566.001"",""T1204.002"",""T1059.004"",""T1210""]",T1068,T1068,Maastricht University Ransomware.afb
attack_flow::Maastricht University Ransomware::0005,attack_flow,Maastricht University Ransomware,5,"[""T1566"",""T1204"",""T1059"",""T1210"",""T1068""]","[""T1566.001"",""T1204.002"",""T1059.004"",""T1210"",""T1068""]",T1003,T1003.001,Maastricht University Ransomware.afb
attack_flow::Maastricht University Ransomware::0006,attack_flow,Maastricht University Ransomware,6,"[""T1566"",""T1204"",""T1059"",""T1210"",""T1068"",""T1003""]","[""T1566.001"",""T1204.002"",""T1059.004"",""T1210"",""T1068"",""T1003.001""]",T1059,T1059,Maastricht University Ransomware.afb
attack_flow::Maastricht University Ransomware::0007,attack_flow,Maastricht University Ransomware,7,"[""T1566"",""T1204"",""T1059"",""T1210"",""T1068"",""T1003"",""T1059""]","[""T1566.001"",""T1204.002"",""T1059.004"",""T1210"",""T1068"",""T1003.001"",""T1059""]",T1018,T1018,Maastricht University Ransomware.afb
attack_flow::Maastricht University Ransomware::0008,attack_flow,Maastricht University Ransomware,8,"[""T1566"",""T1204"",""T1059"",""T1210"",""T1068"",""T1003"",""T1059"",""T1018""]","[""T1566.001"",""T1204.002"",""T1059.004"",""T1210"",""T1068"",""T1003.001"",""T1059"",""T1018""]",T1105,T1105,Maastricht University Ransomware.afb
attack_flow::Maastricht University Ransomware::0009,attack_flow,Maastricht University Ransomware,9,"[""T1566"",""T1204"",""T1059"",""T1210"",""T1068"",""T1003"",""T1059"",""T1018"",""T1105""]","[""T1566.001"",""T1204.002"",""T1059.004"",""T1210"",""T1068"",""T1003.001"",""T1059"",""T1018"",""T1105""]",T1562,T1562.001,Maastricht University Ransomware.afb
attack_flow::Maastricht University Ransomware::0010,attack_flow,Maastricht University Ransomware,10,"[""T1566"",""T1204"",""T1059"",""T1210"",""T1068"",""T1003"",""T1059"",""T1018"",""T1105"",""T1562""]","[""T1566.001"",""T1204.002"",""T1059.004"",""T1210"",""T1068"",""T1003.001"",""T1059"",""T1018"",""T1105"",""T1562.001""]",T1562,T1562.001,Maastricht University Ransomware.afb
attack_flow::Maastricht University Ransomware::0011,attack_flow,Maastricht University Ransomware,11,"[""T1566"",""T1204"",""T1059"",""T1210"",""T1068"",""T1003"",""T1059"",""T1018"",""T1105"",""T1562"",""T1562""]","[""T1566.001"",""T1204.002"",""T1059.004"",""T1210"",""T1068"",""T1003.001"",""T1059"",""T1018"",""T1105"",""T1562.001"",""T1562.001""]",T1486,T1486,Maastricht University Ransomware.afb
attack_flow::Mac Malware Steals Crypto::0001,attack_flow,Mac Malware Steals Crypto,1,"[""T1059""]","[""T1059.006""]",T1211,T1211,Mac Malware Steals Crypto.afb
attack_flow::Mac Malware Steals Crypto::0002,attack_flow,Mac Malware Steals Crypto,2,"[""T1059"",""T1211""]","[""T1059.006"",""T1211""]",T1105,T1105,Mac Malware Steals Crypto.afb
attack_flow::Mac Malware Steals Crypto::0003,attack_flow,Mac Malware Steals Crypto,3,"[""T1059"",""T1211"",""T1105""]","[""T1059.006"",""T1211"",""T1105""]",T1059,T1059.006,Mac Malware Steals Crypto.afb
attack_flow::Mac Malware Steals Crypto::0004,attack_flow,Mac Malware Steals Crypto,4,"[""T1059"",""T1211"",""T1105"",""T1059""]","[""T1059.006"",""T1211"",""T1105"",""T1059.006""]",T1518,T1518.001,Mac Malware Steals Crypto.afb
attack_flow::Marriott Breach::0001,attack_flow,Marriott Breach,1,"[""T1566""]","[""T1566""]",T1555,T1555,Marriott Breach.afb
attack_flow::Marriott Breach::0002,attack_flow,Marriott Breach,2,"[""T1566"",""T1555""]","[""T1566"",""T1555""]",T1590,T1590.004,Marriott Breach.afb
attack_flow::Marriott Breach::0003,attack_flow,Marriott Breach,3,"[""T1566"",""T1555"",""T1590""]","[""T1566"",""T1555"",""T1590.004""]",T1001,T1001,Marriott Breach.afb
attack_flow::Marriott Breach::0004,attack_flow,Marriott Breach,4,"[""T1566"",""T1555"",""T1590"",""T1001""]","[""T1566"",""T1555"",""T1590.004"",""T1001""]",T1070,T1070.004,Marriott Breach.afb
attack_flow::Muddy Water::0001,attack_flow,Muddy Water,1,"[""T1566""]","[""T1566.001""]",T1204,T1204.001,Muddy Water.afb
attack_flow::Muddy Water::0002,attack_flow,Muddy Water,2,"[""T1566"",""T1204""]","[""T1566.001"",""T1204.001""]",T1204,T1204.002,Muddy Water.afb
attack_flow::Muddy Water::0003,attack_flow,Muddy Water,3,"[""T1566"",""T1204"",""T1204""]","[""T1566.001"",""T1204.001"",""T1204.002""]",T1059,T1059.005,Muddy Water.afb
attack_flow::Muddy Water::0004,attack_flow,Muddy Water,4,"[""T1566"",""T1204"",""T1204"",""T1059""]","[""T1566.001"",""T1204.001"",""T1204.002"",""T1059.005""]",T1547,T1547.001,Muddy Water.afb
attack_flow::Muddy Water::0005,attack_flow,Muddy Water,5,"[""T1566"",""T1204"",""T1204"",""T1059"",""T1547""]","[""T1566.001"",""T1204.001"",""T1204.002"",""T1059.005"",""T1547.001""]",T1059,T1059.005,Muddy Water.afb
attack_flow::Muddy Water::0006,attack_flow,Muddy Water,6,"[""T1566"",""T1204"",""T1204"",""T1059"",""T1547"",""T1059""]","[""T1566.001"",""T1204.001"",""T1204.002"",""T1059.005"",""T1547.001"",""T1059.005""]",T1059,T1059.001,Muddy Water.afb
attack_flow::Muddy Water::0007,attack_flow,Muddy Water,7,"[""T1566"",""T1204"",""T1204"",""T1059"",""T1547"",""T1059"",""T1059""]","[""T1566.001"",""T1204.001"",""T1204.002"",""T1059.005"",""T1547.001"",""T1059.005"",""T1059.001""]",T1105,T1105,Muddy Water.afb
attack_flow::Muddy Water::0008,attack_flow,Muddy Water,8,"[""T1566"",""T1204"",""T1204"",""T1059"",""T1547"",""T1059"",""T1059"",""T1105""]","[""T1566.001"",""T1204.001"",""T1204.002"",""T1059.005"",""T1547.001"",""T1059.005"",""T1059.001"",""T1105""]",T1059,T1059.001,Muddy Water.afb
attack_flow::Muddy Water::0009,attack_flow,Muddy Water,9,"[""T1566"",""T1204"",""T1204"",""T1059"",""T1547"",""T1059"",""T1059"",""T1105"",""T1059""]","[""T1566.001"",""T1204.001"",""T1204.002"",""T1059.005"",""T1547.001"",""T1059.005"",""T1059.001"",""T1105"",""T1059.001""]",T1486,T1486,Muddy Water.afb
attack_flow::NotPetya::0001,attack_flow,NotPetya,1,"[""T1593""]","[""T1593""]",T1195,T1195.002,NotPetya.afb
attack_flow::NotPetya::0002,attack_flow,NotPetya,2,"[""T1593"",""T1195""]","[""T1593"",""T1195.002""]",T1195,T1195.002,NotPetya.afb
attack_flow::NotPetya::0003,attack_flow,NotPetya,3,"[""T1593"",""T1195"",""T1195""]","[""T1593"",""T1195.002"",""T1195.002""]",T1195,T1195,NotPetya.afb
attack_flow::NotPetya::0004,attack_flow,NotPetya,4,"[""T1593"",""T1195"",""T1195"",""T1195""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195""]",T1036,T1036,NotPetya.afb
attack_flow::NotPetya::0005,attack_flow,NotPetya,5,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036""]",T1057,T1057,NotPetya.afb
attack_flow::NotPetya::0006,attack_flow,NotPetya,6,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036"",""T1057""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036"",""T1057""]",T1003,T1003.001,NotPetya.afb
attack_flow::NotPetya::0007,attack_flow,NotPetya,7,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036"",""T1057"",""T1003""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036"",""T1057"",""T1003.001""]",T0866,T0866,NotPetya.afb
attack_flow::NotPetya::0008,attack_flow,NotPetya,8,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036"",""T1057"",""T1003"",""T0866""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036"",""T1057"",""T1003.001"",""T0866""]",T1055,T1055.001,NotPetya.afb
attack_flow::NotPetya::0009,attack_flow,NotPetya,9,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036"",""T1057"",""T1003"",""T0866"",""T1055""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036"",""T1057"",""T1003.001"",""T0866"",""T1055.001""]",T1218,T1218.011,NotPetya.afb
attack_flow::NotPetya::0010,attack_flow,NotPetya,10,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036"",""T1057"",""T1003"",""T0866"",""T1055"",""T1218""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036"",""T1057"",""T1003.001"",""T0866"",""T1055.001"",""T1218.011""]",T1542,T1542.003,NotPetya.afb
attack_flow::NotPetya::0011,attack_flow,NotPetya,11,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036"",""T1057"",""T1003"",""T0866"",""T1055"",""T1218"",""T1542""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036"",""T1057"",""T1003.001"",""T0866"",""T1055.001"",""T1218.011"",""T1542.003""]",T1053,T1053.005,NotPetya.afb
attack_flow::NotPetya::0012,attack_flow,NotPetya,12,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036"",""T1057"",""T1003"",""T0866"",""T1055"",""T1218"",""T1542"",""T1053""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036"",""T1057"",""T1003.001"",""T0866"",""T1055.001"",""T1218.011"",""T1542.003"",""T1053.005""]",T1529,T1529,NotPetya.afb
attack_flow::NotPetya::0013,attack_flow,NotPetya,13,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036"",""T1057"",""T1003"",""T0866"",""T1055"",""T1218"",""T1542"",""T1053"",""T1529""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036"",""T1057"",""T1003.001"",""T0866"",""T1055.001"",""T1218.011"",""T1542.003"",""T1053.005"",""T1529""]",T1486,T1486,NotPetya.afb
attack_flow::NotPetya::0014,attack_flow,NotPetya,14,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036"",""T1057"",""T1003"",""T0866"",""T1055"",""T1218"",""T1542"",""T1053"",""T1529"",""T1486""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036"",""T1057"",""T1003.001"",""T0866"",""T1055.001"",""T1218.011"",""T1542.003"",""T1053.005"",""T1529"",""T1486""]",T1070,T1070.001,NotPetya.afb
attack_flow::NotPetya::0015,attack_flow,NotPetya,15,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036"",""T1057"",""T1003"",""T0866"",""T1055"",""T1218"",""T1542"",""T1053"",""T1529"",""T1486"",""T1070""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036"",""T1057"",""T1003.001"",""T0866"",""T1055.001"",""T1218.011"",""T1542.003"",""T1053.005"",""T1529"",""T1486"",""T1070.001""]",T1529,T1529,NotPetya.afb
attack_flow::NotPetya::0016,attack_flow,NotPetya,16,"[""T1593"",""T1195"",""T1195"",""T1195"",""T1036"",""T1057"",""T1003"",""T0866"",""T1055"",""T1218"",""T1542"",""T1053"",""T1529"",""T1486"",""T1070"",""T1529""]","[""T1593"",""T1195.002"",""T1195.002"",""T1195"",""T1036"",""T1057"",""T1003.001"",""T0866"",""T1055.001"",""T1218.011"",""T1542.003"",""T1053.005"",""T1529"",""T1486"",""T1070.001"",""T1529""]",T1485,T1485,NotPetya.afb
attack_flow::OceanLotus::0001,attack_flow,OceanLotus,1,"[""T1566""]","[""T1566.001""]",T1566,T1566.001,OceanLotus.afb
attack_flow::OceanLotus::0002,attack_flow,OceanLotus,2,"[""T1566"",""T1566""]","[""T1566.001"",""T1566.001""]",T1204,T1204.002,OceanLotus.afb
attack_flow::OceanLotus::0003,attack_flow,OceanLotus,3,"[""T1566"",""T1566"",""T1204""]","[""T1566.001"",""T1566.001"",""T1204.002""]",T1036,T1036,OceanLotus.afb
attack_flow::OceanLotus::0004,attack_flow,OceanLotus,4,"[""T1566"",""T1566"",""T1204"",""T1036""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036""]",T1027,T1027.009,OceanLotus.afb
attack_flow::OceanLotus::0005,attack_flow,OceanLotus,5,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009""]",T1543,T1543.001,OceanLotus.afb
attack_flow::OceanLotus::0006,attack_flow,OceanLotus,6,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001""]",T1070,T1070,OceanLotus.afb
attack_flow::OceanLotus::0007,attack_flow,OceanLotus,7,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070""]",T1082,T1082,OceanLotus.afb
attack_flow::OceanLotus::0008,attack_flow,OceanLotus,8,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082""]",T1041,T1041,OceanLotus.afb
attack_flow::OceanLotus::0009,attack_flow,OceanLotus,9,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041""]",T1018,T1018,OceanLotus.afb
attack_flow::OceanLotus::0010,attack_flow,OceanLotus,10,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041"",""T1018""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041"",""T1018""]",T1105,T1105,OceanLotus.afb
attack_flow::OceanLotus::0011,attack_flow,OceanLotus,11,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105""]",T1021,T1021,OceanLotus.afb
attack_flow::OceanLotus::0012,attack_flow,OceanLotus,12,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021""]",T1021,T1021.004,OceanLotus.afb
attack_flow::OceanLotus::0013,attack_flow,OceanLotus,13,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021.004""]",T1059,T1059.004,OceanLotus.afb
attack_flow::OceanLotus::0014,attack_flow,OceanLotus,14,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021"",""T1059""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021.004"",""T1059.004""]",T1082,T1082,OceanLotus.afb
attack_flow::OceanLotus::0015,attack_flow,OceanLotus,15,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021"",""T1059"",""T1082""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021.004"",""T1059.004"",""T1082""]",T1041,T1041,OceanLotus.afb
attack_flow::OceanLotus::0016,attack_flow,OceanLotus,16,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021"",""T1059"",""T1082"",""T1041""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021.004"",""T1059.004"",""T1082"",""T1041""]",T1119,T1119,OceanLotus.afb
attack_flow::OceanLotus::0017,attack_flow,OceanLotus,17,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021"",""T1059"",""T1082"",""T1041"",""T1119""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021.004"",""T1059.004"",""T1082"",""T1041"",""T1119""]",T1564,T1564.001,OceanLotus.afb
attack_flow::OceanLotus::0018,attack_flow,OceanLotus,18,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021"",""T1059"",""T1082"",""T1041"",""T1119"",""T1564""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021.004"",""T1059.004"",""T1082"",""T1041"",""T1119"",""T1564.001""]",T1083,T1083,OceanLotus.afb
attack_flow::OceanLotus::0019,attack_flow,OceanLotus,19,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021"",""T1059"",""T1082"",""T1041"",""T1119"",""T1564"",""T1083""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021.004"",""T1059.004"",""T1082"",""T1041"",""T1119"",""T1564.001"",""T1083""]",T1074,T1074.001,OceanLotus.afb
attack_flow::OceanLotus::0020,attack_flow,OceanLotus,20,"[""T1566"",""T1566"",""T1204"",""T1036"",""T1027"",""T1543"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021"",""T1059"",""T1082"",""T1041"",""T1119"",""T1564"",""T1083"",""T1074""]","[""T1566.001"",""T1566.001"",""T1204.002"",""T1036"",""T1027.009"",""T1543.001"",""T1070"",""T1082"",""T1041"",""T1018"",""T1105"",""T1021"",""T1021.004"",""T1059.004"",""T1082"",""T1041"",""T1119"",""T1564.001"",""T1083"",""T1074.001""]",T1041,T1041,OceanLotus.afb
attack_flow::REvil::0001,attack_flow,REvil,1,"[""T1189""]","[""T1189""]",T1068,T1068,REvil.afb
attack_flow::REvil::0002,attack_flow,REvil,2,"[""T1189"",""T1068""]","[""T1189"",""T1068""]",T1140,T1140,REvil.afb
attack_flow::REvil::0003,attack_flow,REvil,3,"[""T1189"",""T1068"",""T1140""]","[""T1189"",""T1068"",""T1140""]",T1134,T1134.002,REvil.afb
attack_flow::REvil::0004,attack_flow,REvil,4,"[""T1189"",""T1068"",""T1140"",""T1134""]","[""T1189"",""T1068"",""T1140"",""T1134.002""]",T1012,T1012,REvil.afb
attack_flow::REvil::0005,attack_flow,REvil,5,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012""]",T1033,T1033,REvil.afb
attack_flow::REvil::0006,attack_flow,REvil,6,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033""]",T1027,T1027,REvil.afb
attack_flow::REvil::0007,attack_flow,REvil,7,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027""]",T1112,T1112,REvil.afb
attack_flow::REvil::0008,attack_flow,REvil,8,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027"",""T1112""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027"",""T1112""]",T1489,T1489,REvil.afb
attack_flow::REvil::0009,attack_flow,REvil,9,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489""]",T1059,T1059.001,REvil.afb
attack_flow::REvil::0010,attack_flow,REvil,10,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059.001""]",T1490,T1490,REvil.afb
attack_flow::REvil::0011,attack_flow,REvil,11,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059"",""T1490""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059.001"",""T1490""]",T1485,T1485,REvil.afb
attack_flow::REvil::0012,attack_flow,REvil,12,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059"",""T1490"",""T1485""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059.001"",""T1490"",""T1485""]",T1083,T1083,REvil.afb
attack_flow::REvil::0013,attack_flow,REvil,13,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059"",""T1490"",""T1485"",""T1083""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059.001"",""T1490"",""T1485"",""T1083""]",T1135,T1135,REvil.afb
attack_flow::REvil::0014,attack_flow,REvil,14,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059"",""T1490"",""T1485"",""T1083"",""T1135""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059.001"",""T1490"",""T1485"",""T1083"",""T1135""]",T1486,T1486,REvil.afb
attack_flow::REvil::0015,attack_flow,REvil,15,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059"",""T1490"",""T1485"",""T1083"",""T1135"",""T1486""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059.001"",""T1490"",""T1485"",""T1083"",""T1135"",""T1486""]",T1491,T1491.001,REvil.afb
attack_flow::REvil::0016,attack_flow,REvil,16,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059"",""T1490"",""T1485"",""T1083"",""T1135"",""T1486"",""T1491""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059.001"",""T1490"",""T1485"",""T1083"",""T1135"",""T1486"",""T1491.001""]",T1012,T1012,REvil.afb
attack_flow::REvil::0017,attack_flow,REvil,17,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059"",""T1490"",""T1485"",""T1083"",""T1135"",""T1486"",""T1491"",""T1012""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059.001"",""T1490"",""T1485"",""T1083"",""T1135"",""T1486"",""T1491.001"",""T1012""]",T1573,T1573.002,REvil.afb
attack_flow::REvil::0018,attack_flow,REvil,18,"[""T1189"",""T1068"",""T1140"",""T1134"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059"",""T1490"",""T1485"",""T1083"",""T1135"",""T1486"",""T1491"",""T1012"",""T1573""]","[""T1189"",""T1068"",""T1140"",""T1134.002"",""T1012"",""T1033"",""T1027"",""T1112"",""T1489"",""T1059.001"",""T1490"",""T1485"",""T1083"",""T1135"",""T1486"",""T1491.001"",""T1012"",""T1573.002""]",T1041,T1041,REvil.afb
attack_flow::Ragnar Locker::0001,attack_flow,Ragnar Locker,1,"[""T1110""]","[""T1110""]",T1546,T1546.015,Ragnar Locker.afb
attack_flow::Ragnar Locker::0002,attack_flow,Ragnar Locker,2,"[""T1110"",""T1546""]","[""T1110"",""T1546.015""]",T1484,T1484.001,Ragnar Locker.afb
attack_flow::Ragnar Locker::0003,attack_flow,Ragnar Locker,3,"[""T1110"",""T1546"",""T1484""]","[""T1110"",""T1546.015"",""T1484.001""]",T1218,T1218.007,Ragnar Locker.afb
attack_flow::Ragnar Locker::0004,attack_flow,Ragnar Locker,4,"[""T1110"",""T1546"",""T1484"",""T1218""]","[""T1110"",""T1546.015"",""T1484.001"",""T1218.007""]",T1105,T1105,Ragnar Locker.afb
attack_flow::Ragnar Locker::0005,attack_flow,Ragnar Locker,5,"[""T1110"",""T1546"",""T1484"",""T1218"",""T1105""]","[""T1110"",""T1546.015"",""T1484.001"",""T1218.007"",""T1105""]",T1105,T1105,Ragnar Locker.afb
