Bin Range,Samples,Avg Confidence,True Accuracy,Gap
"(0.1, 0.2]",20,0.17073582112789154,0.05,0.12073582112789154
"(0.2, 0.3]",99,0.26102524995803833,0.1414141414141414,0.11961110854389692
"(0.3, 0.4]",195,0.3569014370441437,0.3435897435897436,0.013311693454400086
"(0.4, 0.5]",277,0.45204073190689087,0.34296028880866425,0.10908044309822662
"(0.5, 0.6]",248,0.5478993654251099,0.40725806451612906,0.1406413009089808
"(0.6, 0.7]",237,0.6506165862083435,0.4767932489451477,0.17382333726319582
"(0.7, 0.8]",232,0.7470646500587463,0.5689655172413793,0.178099132817367
"(0.8, 0.9]",229,0.851525604724884,0.6506550218340611,0.20087058289082294
"(0.9, 1.0]",570,0.9617142677307129,0.8333333333333334,0.12838093439737952
