held_out_source,inner_validation_source,tactic_lambda,b0_lambda,campaign_macro_ndcg5,two_source_mean_ndcg5,selected,training_rows,validation_rows
attack_flow,ctid,0.0,0.0,0.12004516057842711,0.11253265700159876,0,109,263
attack_flow,ctid,0.1,0.0,0.11236795190224498,0.10868026552325356,0,109,263
attack_flow,ctid,0.2,0.0,0.10887994790620256,0.10454631630692196,0,109,263
attack_flow,ctid,0.3,0.0,0.10873231949019724,0.10310161083971617,0,109,263
attack_flow,ctid,0.4,0.0,0.10814264802584975,0.10372412552730792,0,109,263
attack_flow,ctid,0.5,0.0,0.10273142919496561,0.090405069589678,0,109,263
attack_flow,ctid,0.6,0.0,0.09829943307280212,0.08950683732258385,0,109,263
attack_flow,ctid,0.7,0.0,0.09617305333275317,0.09131159727341068,0,109,263
attack_flow,ctid,0.8,0.0,0.09256337624628867,0.09114885590194383,0,109,263
attack_flow,ctid,0.9,0.0,0.09093460137192005,0.08605273739554808,0,109,263
attack_flow,ctid,1.0,0.0,0.05587796612221768,0.0511945102588452,0,109,263
attack_flow,ctid,0.0,0.1,0.1335430086168919,0.13497669204217816,0,109,263
attack_flow,ctid,0.1,0.1,0.1330305443648652,0.13334192872717054,0,109,263
attack_flow,ctid,0.2,0.1,0.1331440011268856,0.13631483077814702,0,109,263
attack_flow,ctid,0.3,0.1,0.1330543955939586,0.1329633166590954,0,109,263
attack_flow,ctid,0.4,0.1,0.13525936950033685,0.13626000128997945,0,109,263
attack_flow,ctid,0.5,0.1,0.14057603677950242,0.13105410639371212,0,109,263
attack_flow,ctid,0.6,0.1,0.14086040895317356,0.1318091525061493,0,109,263
attack_flow,ctid,0.7,0.1,0.1397761221973901,0.13779600867922995,0,109,263
attack_flow,ctid,0.8,0.1,0.14222419017821708,0.14314854068895339,0,109,263
attack_flow,ctid,0.9,0.1,0.1418801478289315,0.142659941053393,0,109,263
attack_flow,ctid,1.0,0.1,0.11449158817804692,0.12348212525270762,0,109,263
attack_flow,ctid,0.0,0.2,0.15111389981874235,0.1497731098625911,0,109,263
attack_flow,ctid,0.1,0.2,0.14856392182808745,0.14844960569556087,0,109,263
attack_flow,ctid,0.2,0.2,0.14751205104686388,0.15532199952747006,0,109,263
attack_flow,ctid,0.3,0.2,0.15088940964896594,0.1600599586247371,0,109,263
attack_flow,ctid,0.4,0.2,0.153202703721475,0.16271933417887416,0,109,263
