campaign_macro_ndcg5,config,held_out_source,l2,mechanism,selected,source_equal_mean,validation_source,variant
0.24010145250687326,"[2,2,0.0,1.0]",ctid,,F2,0,0.2071049653245072,attack_flow,main
0.24156091915471198,"[2,1,1.0,0.0]",ctid,,F2,0,0.20756470569292623,attack_flow,main
0.24156091915471198,"[2,1,1.0,0.5]",ctid,,F2,0,0.20756470569292623,attack_flow,main
0.24156091915471198,"[2,1,1.0,1.0]",ctid,,F2,0,0.20756470569292623,attack_flow,main
0.2420449961195473,"[2,1,0.5,0.0]",ctid,,F2,0,0.2078067441753439,attack_flow,main
0.2420449961195473,"[2,1,0.5,0.5]",ctid,,F2,0,0.2078067441753439,attack_flow,main
0.2420449961195473,"[2,1,0.5,1.0]",ctid,,F2,0,0.2078067441753439,attack_flow,main
0.2420449961195473,"[2,1,0.25,0.0]",ctid,,F2,0,0.2078067441753439,attack_flow,main
0.2420449961195473,"[2,1,0.25,0.5]",ctid,,F2,0,0.2078067441753439,attack_flow,main
0.2420449961195473,"[2,1,0.25,1.0]",ctid,,F2,0,0.2078067441753439,attack_flow,main
0.2420449961195473,"[2,1,0.0,0.0]",ctid,,F2,0,0.2078067441753439,attack_flow,main
0.2420449961195473,"[2,1,0.0,0.5]",ctid,,F2,0,0.2078067441753439,attack_flow,main
0.2420449961195473,"[2,1,0.0,1.0]",ctid,,F2,0,0.2078067441753439,attack_flow,main
0.22992337427766338,"[2,0,1.0,0.0]",ctid,,F2,0,0.20174593325440193,attack_flow,main
0.22992337427766338,"[2,0,1.0,0.5]",ctid,,F2,0,0.20174593325440193,attack_flow,main
0.22992337427766338,"[2,0,1.0,1.0]",ctid,,F2,0,0.20174593325440193,attack_flow,main
0.23040745124249865,"[2,0,0.5,0.0]",ctid,,F2,0,0.2019879717368196,attack_flow,main
0.23040745124249865,"[2,0,0.5,0.5]",ctid,,F2,0,0.2019879717368196,attack_flow,main
0.23040745124249865,"[2,0,0.5,1.0]",ctid,,F2,0,0.2019879717368196,attack_flow,main
0.23040745124249865,"[2,0,0.25,0.0]",ctid,,F2,0,0.2019879717368196,attack_flow,main
0.23040745124249865,"[2,0,0.25,0.5]",ctid,,F2,0,0.2019879717368196,attack_flow,main
0.23040745124249865,"[2,0,0.25,1.0]",ctid,,F2,0,0.2019879717368196,attack_flow,main
0.23040745124249865,"[2,0,0.0,0.0]",ctid,,F2,0,0.2019879717368196,attack_flow,main
0.23040745124249865,"[2,0,0.0,0.5]",ctid,,F2,0,0.2019879717368196,attack_flow,main
0.23040745124249865,"[2,0,0.0,1.0]",ctid,,F2,0,0.2019879717368196,attack_flow,main
0.17410847814214114,"[3,2,1.0,0.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[3,2,1.0,0.5]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[3,2,1.0,1.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[3,2,0.5,0.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[3,2,0.5,0.5]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[3,2,0.5,1.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[3,2,0.25,0.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[3,2,0.25,0.5]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[3,2,0.25,1.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[3,2,0.0,0.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[3,2,0.0,0.5]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[3,2,0.0,1.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.174505940946166,"[3,1,1.0,0.0]",ctid,,F2,0,0.20804886727769556,stockpile,main
0.174505940946166,"[3,1,1.0,0.5]",ctid,,F2,0,0.20804886727769556,stockpile,main
0.174505940946166,"[3,1,1.0,1.0]",ctid,,F2,0,0.20804886727769556,stockpile,main
0.174505940946166,"[3,1,0.5,0.0]",ctid,,F2,1,0.20829090576011322,stockpile,main
0.174505940946166,"[3,1,0.5,0.5]",ctid,,F2,0,0.20829090576011322,stockpile,main
0.174505940946166,"[3,1,0.5,1.0]",ctid,,F2,0,0.20829090576011322,stockpile,main
0.174505940946166,"[3,1,0.25,0.0]",ctid,,F2,0,0.20829090576011322,stockpile,main
0.174505940946166,"[3,1,0.25,0.5]",ctid,,F2,0,0.20829090576011322,stockpile,main
0.174505940946166,"[3,1,0.25,1.0]",ctid,,F2,0,0.20829090576011322,stockpile,main
0.174505940946166,"[3,1,0.0,0.0]",ctid,,F2,0,0.20829090576011322,stockpile,main
0.174505940946166,"[3,1,0.0,0.5]",ctid,,F2,0,0.20829090576011322,stockpile,main
0.174505940946166,"[3,1,0.0,1.0]",ctid,,F2,0,0.20829090576011322,stockpile,main
0.174505940946166,"[3,0,1.0,0.0]",ctid,,F2,0,0.20231904361161318,stockpile,main
0.174505940946166,"[3,0,1.0,0.5]",ctid,,F2,0,0.20231904361161318,stockpile,main
0.174505940946166,"[3,0,1.0,1.0]",ctid,,F2,0,0.20231904361161318,stockpile,main
0.174505940946166,"[3,0,0.5,0.0]",ctid,,F2,0,0.20256108209403084,stockpile,main
0.174505940946166,"[3,0,0.5,0.5]",ctid,,F2,0,0.20256108209403084,stockpile,main
0.174505940946166,"[3,0,0.5,1.0]",ctid,,F2,0,0.20256108209403084,stockpile,main
0.174505940946166,"[3,0,0.25,0.0]",ctid,,F2,0,0.20256108209403084,stockpile,main
0.174505940946166,"[3,0,0.25,0.5]",ctid,,F2,0,0.20256108209403084,stockpile,main
0.174505940946166,"[3,0,0.25,1.0]",ctid,,F2,0,0.20256108209403084,stockpile,main
0.174505940946166,"[3,0,0.0,0.0]",ctid,,F2,0,0.20288526386641897,stockpile,main
0.174505940946166,"[3,0,0.0,0.5]",ctid,,F2,0,0.20288526386641897,stockpile,main
0.174505940946166,"[3,0,0.0,1.0]",ctid,,F2,0,0.20288526386641897,stockpile,main
0.17410847814214114,"[2,2,1.0,0.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[2,2,1.0,0.5]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[2,2,1.0,1.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[2,2,0.5,0.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[2,2,0.5,0.5]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[2,2,0.5,1.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[2,2,0.25,0.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[2,2,0.25,0.5]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[2,2,0.25,1.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[2,2,0.0,0.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[2,2,0.0,0.5]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17410847814214114,"[2,2,0.0,1.0]",ctid,,F2,0,0.2071049653245072,stockpile,main
0.17356849223114051,"[2,1,1.0,0.0]",ctid,,F2,0,0.20756470569292623,stockpile,main
0.17356849223114051,"[2,1,1.0,0.5]",ctid,,F2,0,0.20756470569292623,stockpile,main
0.17356849223114051,"[2,1,1.0,1.0]",ctid,,F2,0,0.20756470569292623,stockpile,main
0.17356849223114051,"[2,1,0.5,0.0]",ctid,,F2,0,0.2078067441753439,stockpile,main
0.17356849223114051,"[2,1,0.5,0.5]",ctid,,F2,0,0.2078067441753439,stockpile,main
0.17356849223114051,"[2,1,0.5,1.0]",ctid,,F2,0,0.2078067441753439,stockpile,main
0.17356849223114051,"[2,1,0.25,0.0]",ctid,,F2,0,0.2078067441753439,stockpile,main
0.17356849223114051,"[2,1,0.25,0.5]",ctid,,F2,0,0.2078067441753439,stockpile,main
0.17356849223114051,"[2,1,0.25,1.0]",ctid,,F2,0,0.2078067441753439,stockpile,main
0.17356849223114051,"[2,1,0.0,0.0]",ctid,,F2,0,0.2078067441753439,stockpile,main
0.17356849223114051,"[2,1,0.0,0.5]",ctid,,F2,0,0.2078067441753439,stockpile,main
0.17356849223114051,"[2,1,0.0,1.0]",ctid,,F2,0,0.2078067441753439,stockpile,main
0.17356849223114051,"[2,0,1.0,0.0]",ctid,,F2,0,0.20174593325440193,stockpile,main
0.17356849223114051,"[2,0,1.0,0.5]",ctid,,F2,0,0.20174593325440193,stockpile,main
0.17356849223114051,"[2,0,1.0,1.0]",ctid,,F2,0,0.20174593325440193,stockpile,main
0.17356849223114051,"[2,0,0.5,0.0]",ctid,,F2,0,0.2019879717368196,stockpile,main
0.17356849223114051,"[2,0,0.5,0.5]",ctid,,F2,0,0.2019879717368196,stockpile,main
0.17356849223114051,"[2,0,0.5,1.0]",ctid,,F2,0,0.2019879717368196,stockpile,main
0.17356849223114051,"[2,0,0.25,0.0]",ctid,,F2,0,0.2019879717368196,stockpile,main
0.17356849223114051,"[2,0,0.25,0.5]",ctid,,F2,0,0.2019879717368196,stockpile,main
0.17356849223114051,"[2,0,0.25,1.0]",ctid,,F2,0,0.2019879717368196,stockpile,main
0.17356849223114051,"[2,0,0.0,0.0]",ctid,,F2,0,0.2019879717368196,stockpile,main
0.17356849223114051,"[2,0,0.0,0.5]",ctid,,F2,0,0.2019879717368196,stockpile,main
0.17356849223114051,"[2,0,0.0,1.0]",ctid,,F2,0,0.2019879717368196,stockpile,main
0.1960606492273863,,ctid,0.001,F3,0,0.18537031253860586,attack_flow,main
0.20146414637335447,,ctid,0.01,F3,0,0.18624439499451673,attack_flow,main
