held_out_source,method,campaigns,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
attack_flow,B0,35,0.24010145250687326,0.5184908345622631,0.13353368853368855,0.2672528265385408
attack_flow,F1,35,0.2278977244844624,0.5184908345622631,0.13353368853368855,0.2672528265385408
attack_flow,F1-Equal,35,0.2427012880251393,0.5184908345622631,0.13353368853368855,0.2672528265385408
attack_flow,F1-NoPrior,35,0.2246559016340573,0.5184908345622631,0.13353368853368855,0.2672528265385408
attack_flow,F1-Perm,35,0.23962531850360216,0.5184908345622631,0.13353368853368855,0.2672528265385408
attack_flow,F2,35,0.2406571495856963,0.5207017189160046,0.1339894708466137,0.26843763379477664
attack_flow,F2-Equal,35,0.24010145250687326,0.5184908345622631,0.13353368853368855,0.2672528265385408
attack_flow,F2-NoPrior,35,0.24114122655053163,0.5227425352425352,0.13439763411191982,0.26945804195804196
attack_flow,F2-Perm,35,0.23999765399632983,0.5192051202765489,0.13320035520035522,0.2672925090782234
attack_flow,F3,35,0.20101760036031446,0.48509193187764615,0.12064621886050458,0.23489579864579865
attack_flow,F3-Equal,35,0.24010145250687326,0.5184908345622631,0.13353368853368855,0.2672528265385408
attack_flow,F3-NoPrior,35,0.21355389522009635,0.4822007754150611,0.12352603745460888,0.23847384097384097
attack_flow,F3-Perm,35,0.24010145250687326,0.5184908345622631,0.13353368853368855,0.2672528265385408
attack_flow,F4,35,0.23292147846041533,0.5024590885305171,0.1244860694860695,0.25250792857935717
attack_flow,F4-Equal,35,0.24010145250687326,0.5184908345622631,0.13353368853368855,0.2672528265385408
attack_flow,F4-NoPrior,35,0.23358597570183873,0.5054710368996084,0.12449888999889,0.25463247070389927
attack_flow,F4-Perm,35,0.2274734507704332,0.5184908345622631,0.13353368853368855,0.2672528265385408
ctid,B0,10,0.19427925702024187,0.4560771405511477,0.12566369787254486,0.22140416943968927
ctid,F1,10,0.2046545795833587,0.4560771405511477,0.12566369787254486,0.22140416943968927
ctid,F1-Equal,10,0.19582872415792496,0.4560771405511477,0.12566369787254486,0.22140416943968927
ctid,F1-NoPrior,10,0.20530087083885099,0.4560771405511477,0.12566369787254486,0.22140416943968927
ctid,F1-Perm,10,0.19934949880678005,0.4560771405511477,0.12566369787254486,0.22140416943968927
ctid,F2,10,0.1822820544563949,0.4407145819627827,0.11271326906199941,0.19909548374095415
ctid,F2-Equal,10,0.19427925702024187,0.4560771405511477,0.12566369787254486,0.22140416943968927
ctid,F2-NoPrior,10,0.18534351216161712,0.44850769610670327,0.11601102232556615,0.2047955435280581
ctid,F2-Perm,10,0.19150256074561597,0.4443936851176923,0.12270200678585377,0.2162034673639872
ctid,F3,10,0.18036042448393252,0.44591422229829253,0.11691639473093855,0.2113757694668367
ctid,F3-Equal,10,0.19427925702024187,0.4560771405511477,0.12566369787254486,0.22140416943968927
ctid,F3-NoPrior,10,0.17966031475416527,0.4383985691225763,0.11475160996045694,0.20776779484936733
ctid,F3-Perm,10,0.19427925702024187,0.4560771405511477,0.12566369787254486,0.22140416943968927
ctid,F4,10,0.1944892183578433,0.460476169915114,0.12157003966789344,0.21487059296890348
ctid,F4-Equal,10,0.19427925702024187,0.4560771405511477,0.12566369787254486,0.22140416943968927
ctid,F4-NoPrior,10,0.19318888777435828,0.451683899383713,0.12038301413304182,0.21262766681293382
ctid,F4-Perm,10,0.19427925702024187,0.4560771405511477,0.12566369787254486,0.22140416943968927
stockpile,B0,27,0.17410847814214114,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,F1,27,0.16848031010244652,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,F1-Equal,27,0.1710733267190535,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,F1-NoPrior,27,0.16506326992326809,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,F1-Perm,27,0.160285197545989,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,F2,27,0.1948016552687426,0.33888256804923467,0.08449775533108868,0.2532242705853817
stockpile,F2-Equal,27,0.17410847814214114,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,F2-NoPrior,27,0.1882087918319862,0.3229162812496146,0.08254769921436589,0.23410411604856046
stockpile,F2-Perm,27,0.17967512802177546,0.29847852764519434,0.07641694725028059,0.21450373186484295
stockpile,F3,27,0.17410847814214114,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,F3-Equal,27,0.17410847814214114,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,F3-NoPrior,27,0.17410847814214114,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,F3-Perm,27,0.17410847814214114,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,F4,27,0.17239344737975013,0.28332701249367914,0.07338664421997755,0.19766871502982614
stockpile,F4-Equal,27,0.17410847814214114,0.28332701249367914,0.07406004489337824,0.1993522167133278
stockpile,F4-NoPrior,27,0.18274497644152887,0.31365702199035533,0.08115881032547699,0.2209868320979432
stockpile,F4-Perm,27,0.14803715812722737,0.2740677532344199,0.07174523007856341,0.19395098214542658
