held_out_source,inner_validation_source,seed,epoch,lambda,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
attack_flow,ctid,42,20,0.0,0.10632013574118082,0.12909526090771803,1,109,263
attack_flow,ctid,42,20,0.1,0.10462322523810522,0.11532274919935392,0,109,263
attack_flow,ctid,42,20,0.2,0.10106189374345922,0.11271685316271732,0,109,263
attack_flow,ctid,42,20,0.3,0.0970202119940829,0.1085544552937601,0,109,263
attack_flow,ctid,42,20,0.4,0.09872676772584296,0.10074912520507158,0,109,263
attack_flow,ctid,42,20,0.5,0.10558293567546137,0.08883744558367905,0,109,263
attack_flow,ctid,42,20,0.6,0.11406857009041416,0.09186195945541707,0,109,263
attack_flow,ctid,42,20,0.7,0.11471930136532327,0.0952717814484387,0,109,263
attack_flow,ctid,42,20,0.8,0.11512540646780627,0.09301322828913723,0,109,263
attack_flow,ctid,42,20,0.9,0.1100551390968852,0.08991180082812036,0,109,263
attack_flow,ctid,42,20,1.0,0.11087016178992246,0.09150092132437845,0,109,263
attack_flow,ctid,42,40,0.0,0.10632013574118082,0.12909526090771803,0,109,263
attack_flow,ctid,42,40,0.1,0.1037170744407753,0.11596853359186499,0,109,263
attack_flow,ctid,42,40,0.2,0.10300154596592878,0.11606652313419925,0,109,263
attack_flow,ctid,42,40,0.3,0.10436359266536052,0.11420046285446957,0,109,263
attack_flow,ctid,42,40,0.4,0.10453159920481532,0.10818370723753792,0,109,263
attack_flow,ctid,42,40,0.5,0.10798045067990622,0.1006381501213182,0,109,263
attack_flow,ctid,42,40,0.6,0.10653705335835106,0.09190409950648123,0,109,263
attack_flow,ctid,42,40,0.7,0.11627614401580613,0.09132743582101387,0,109,263
attack_flow,ctid,42,40,0.8,0.11169236234696778,0.08988374195045862,0,109,263
attack_flow,ctid,42,40,0.9,0.1149040287287381,0.0885098621343221,0,109,263
attack_flow,ctid,42,40,1.0,0.12597919148999806,0.09052523341108018,0,109,263
attack_flow,ctid,42,60,0.0,0.10632013574118082,0.12909526090771803,0,109,263
attack_flow,ctid,42,60,0.1,0.10382531419847632,0.11624644830238984,0,109,263
attack_flow,ctid,42,60,0.2,0.10340034497394668,0.11567623990156468,0,109,263
attack_flow,ctid,42,60,0.3,0.1002963578801167,0.11236070454676439,0,109,263
attack_flow,ctid,42,60,0.4,0.10587396145153796,0.11052702249779496,0,109,263
attack_flow,ctid,42,60,0.5,0.10187456603775566,0.10532150521312766,0,109,263
attack_flow,ctid,42,60,0.6,0.10280927600963549,0.09342171508718454,0,109,263
attack_flow,ctid,42,60,0.7,0.10995508269727332,0.09124811894391104,0,109,263
attack_flow,ctid,42,60,0.8,0.1088562282635851,0.08905642747946589,0,109,263
attack_flow,ctid,42,60,0.9,0.10822676068579465,0.09039287993225141,0,109,263
attack_flow,ctid,42,60,1.0,0.11184616115657353,0.08838031970629541,0,109,263
attack_flow,ctid,42,80,0.0,0.10632013574118082,0.12909526090771803,0,109,263
attack_flow,ctid,42,80,0.1,0.10423576527659631,0.11694680678067075,0,109,263
attack_flow,ctid,42,80,0.2,0.10392319086993258,0.11533794369456238,0,109,263
attack_flow,ctid,42,80,0.3,0.09935276337188144,0.11231922360237794,0,109,263
attack_flow,ctid,42,80,0.4,0.09846910213987224,0.11134956551972638,0,109,263
attack_flow,ctid,42,80,0.5,0.10207455577727402,0.10833768284902527,0,109,263
attack_flow,ctid,42,80,0.6,0.10474190313422008,0.103898286465629,0,109,263
attack_flow,ctid,42,80,0.7,0.10600653706369885,0.09252547997850334,0,109,263
attack_flow,ctid,42,80,0.8,0.11233880895949062,0.09205211665426269,0,109,263
attack_flow,ctid,42,80,0.9,0.10886853089163753,0.09433028448486036,0,109,263
attack_flow,ctid,42,80,1.0,0.1008603615284556,0.0964203780241733,0,109,263
attack_flow,ctid,42,100,0.0,0.10632013574118082,0.12909526090771803,0,109,263
attack_flow,ctid,42,100,0.1,0.10374381238783056,0.1177876914302016,0,109,263
attack_flow,ctid,42,100,0.2,0.10355779191591155,0.11666918744019275,0,109,263
attack_flow,ctid,42,100,0.3,0.09670020205503085,0.11319113766166163,0,109,263
attack_flow,ctid,42,100,0.4,0.09971637797992382,0.11264828183041367,0,109,263
attack_flow,ctid,42,100,0.5,0.10381434510523428,0.10990937375478316,0,109,263
attack_flow,ctid,42,100,0.6,0.10054487637341143,0.10569816159901453,0,109,263
