architecture,held_out_source,inner_training_source,inner_validation_source,learning_rate,seed,epoch,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
LSTM,attack_flow,ctid,stockpile,0.0003,43,100,0.04433611540948456,0.0848260255989785,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,44,20,0.07928243814782936,0.08698534890607476,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,44,40,0.05719471494260162,0.08804076909897796,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,44,60,0.05999115697307275,0.08701686121737937,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,44,80,0.05671897054874658,0.08597104898345892,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,44,100,0.057314859932335115,0.0848260255989785,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,45,20,0.06683573522804744,0.08698534890607476,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,45,40,0.06692629790139326,0.08804076909897796,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,45,60,0.05487102675596218,0.08701686121737937,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,45,80,0.055972426937570534,0.08597104898345892,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,45,100,0.05617930420341056,0.0848260255989785,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,46,20,0.07873122036728543,0.08698534890607476,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,46,40,0.08315576217943536,0.08804076909897796,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,46,60,0.07410506881076885,0.08701686121737937,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,46,80,0.0687329160882586,0.08597104898345892,0,263,109
LSTM,attack_flow,ctid,stockpile,0.0003,46,100,0.0794546650695619,0.0848260255989785,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,42,20,0.07053369953424118,0.08566888876251752,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,42,40,0.07331074063516901,0.08807302043905821,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,42,60,0.07920812820466107,0.09021705010520757,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,42,80,0.07708812297683419,0.08654430610885264,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,42,100,0.086178492396711,0.09050691334813558,1,263,109
LSTM,attack_flow,ctid,stockpile,0.001,43,20,0.03804234246202519,0.08566888876251752,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,43,40,0.042782560081411534,0.08807302043905821,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,43,60,0.07021067589907483,0.09021705010520757,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,43,80,0.06605418195871139,0.08654430610885264,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,43,100,0.06407901179396618,0.09050691334813558,1,263,109
LSTM,attack_flow,ctid,stockpile,0.001,44,20,0.0852629351722074,0.08566888876251752,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,44,40,0.06032011228746317,0.08807302043905821,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,44,60,0.05817749455288741,0.09021705010520757,0,263,109
LSTM,attack_flow,ctid,stockpile,0.001,44,80,0.058049225125705484,0.08654430610885264,0,263,109
