held_out_source,method,campaign_id,rows,ndcg5,hit5,precision5,recall5
attack_flow,LSTM,Black Basta Ransomware,24,0.14120723381544995,0.3333333333333333,0.075,0.1597222222222222
attack_flow,LSTM,CISA AA22-138B VMWare Workspace (Alt),8,0.12349438294568006,0.30000000000000004,0.06,0.13333333333333333
attack_flow,LSTM,CISA AA22-138B VMWare Workspace (TA1),8,0.010105367325027379,0.05,0.01,0.016666666666666666
attack_flow,LSTM,CISA AA22-138B VMWare Workspace (TA2),10,0.35189976887910407,0.6799999999999999,0.14400000000000002,0.33999999999999997
attack_flow,LSTM,CISA Iranian APT,21,0.2503882734660066,0.6666666666666666,0.15809523809523812,0.30952380952380953
attack_flow,LSTM,Cobalt Kitty Campaign,11,0.18863096315896596,0.43636363636363634,0.12000000000000001,0.29393939393939394
attack_flow,LSTM,Conti CISA Alert,5,0.008084293860021904,0.04,0.008,0.013333333333333332
attack_flow,LSTM,Conti PWC,3,0.013473823100036504,0.06666666666666667,0.013333333333333334,0.022222222222222223
attack_flow,LSTM,Conti Ransomware,14,0.1638421943524174,0.42857142857142855,0.08571428571428573,0.20714285714285713
attack_flow,LSTM,DFIR - BumbleBee Round 2,12,0.18587500047910452,0.5166666666666667,0.11,0.19722222222222222
attack_flow,LSTM,Equifax Breach,8,0.13472488934836865,0.325,0.065,0.20833333333333334
attack_flow,LSTM,FIN13 Case 1,28,0.11447296267349495,0.34285714285714286,0.08285714285714287,0.14166666666666666
attack_flow,LSTM,FIN13 Case 2,13,0.04421675693997988,0.1846153846153846,0.036923076923076927,0.07179487179487179
attack_flow,LSTM,Gootloader,28,0.11195443385906576,0.3642857142857143,0.07428571428571429,0.19047619047619047
attack_flow,LSTM,Hancitor DLL,18,0.3802710796253318,0.8,0.16666666666666669,0.287037037037037
attack_flow,LSTM,Ivanti Vulnerabilities,5,0.17251185635950145,0.44000000000000006,0.12800000000000003,0.2333333333333333
attack_flow,LSTM,JP Morgan Breach,8,0.06088824678786488,0.175,0.035,0.0875
attack_flow,LSTM,MITRE NERVE,7,0.10018669242705354,0.31428571428571433,0.06285714285714286,0.10476190476190476
attack_flow,LSTM,Maastricht University Ransomware,10,0.2213854252726583,0.6,0.124,0.22333333333333333
attack_flow,LSTM,Mac Malware Steals Crypto,3,0.013473823100036504,0.06666666666666667,0.013333333333333334,0.022222222222222223
attack_flow,LSTM,Marriott Breach,4,0.13191103144802963,0.3,0.060000000000000005,0.21666666666666667
attack_flow,LSTM,Muddy Water,8,0.17415454422956236,0.3,0.065,0.1625
attack_flow,LSTM,NotPetya,13,0.0708795374294255,0.26153846153846155,0.05846153846153847,0.09743589743589744
attack_flow,LSTM,OceanLotus,20,0.1945069547669746,0.48,0.128,0.23500000000000001
attack_flow,LSTM,REvil,18,0.021672210977747224,0.1,0.020000000000000004,0.044444444444444446
attack_flow,LSTM,Ragnar Locker,12,0.029315478180455917,0.08333333333333333,0.016666666666666666,0.036111111111111115
attack_flow,LSTM,SWIFT Heist,4,0.1426773252212618,0.35,0.08000000000000002,0.15833333333333333
attack_flow,LSTM,SearchAwesome Adware,10,0.2555649828457172,0.62,0.124,0.29
attack_flow,LSTM,Shamoon,18,0.18254061699042942,0.47777777777777775,0.10444444444444445,0.17407407407407408
attack_flow,LSTM,SolarWinds,16,0.08798689515717577,0.3,0.0625,0.10416666666666667
attack_flow,LSTM,Sony Malware,12,0.06461858173485042,0.16666666666666666,0.03333333333333333,0.05555555555555555
attack_flow,LSTM,Target Breach,8,0.035195904451706735,0.075,0.015000000000000003,0.025
attack_flow,LSTM,Tesla Kubernetes Breach,3,0.03128524840151709,0.06666666666666667,0.013333333333333334,0.022222222222222223
attack_flow,LSTM,Uber Breach,6,0.030200847851156076,0.13333333333333333,0.02666666666666667,0.044444444444444446
attack_flow,LSTM,WhisperGate,16,0.14923995744294022,0.3625,0.085,0.1625
attack_flow,TR,Black Basta Ransomware,24,0.13774462307427934,0.30833333333333335,0.07166666666666667,0.15972222222222224
attack_flow,TR,CISA AA22-138B VMWare Workspace (Alt),8,0.2526318785060923,0.6,0.13,0.325
attack_flow,TR,CISA AA22-138B VMWare Workspace (TA1),8,0.13741150916001357,0.4,0.08,0.13749999999999998
attack_flow,TR,CISA AA22-138B VMWare Workspace (TA2),10,0.2803796799753761,0.64,0.164,0.31666666666666665
