held_out_source,outer_training_sources,inner_validation_source,lambda,campaign_macro_ndcg5,source_equal_mean_ndcg5,selected,training_rows,validation_rows
stockpile,"[""ctid"",""attack_flow""]",ctid,0.1,0.16245508301666994,0.16754729758775583,1,412,263
stockpile,"[""ctid"",""attack_flow""]",ctid,0.2,0.1526357764586615,0.16000505402053486,0,412,263
stockpile,"[""ctid"",""attack_flow""]",ctid,0.3,0.1387336197941365,0.1447489731356731,0,412,263
stockpile,"[""ctid"",""attack_flow""]",ctid,0.4,0.12829229668736739,0.13304863778534626,0,412,263
stockpile,"[""ctid"",""attack_flow""]",ctid,0.5,0.11365343239128223,0.11603032609627575,0,412,263
stockpile,"[""ctid"",""attack_flow""]",ctid,0.6,0.0969442447497467,0.10564909050821349,0,412,263
stockpile,"[""ctid"",""attack_flow""]",ctid,0.7,0.08643390967224411,0.08014717909577482,0,412,263
stockpile,"[""ctid"",""attack_flow""]",ctid,0.8,0.0809293407627999,0.06979280574157129,0,412,263
stockpile,"[""ctid"",""attack_flow""]",ctid,0.9,0.08256307068514718,0.05925303233815347,0,412,263
stockpile,"[""ctid"",""attack_flow""]",ctid,1.0,0.03764360327199814,0.027984758145042532,0,412,263
