method,source_folds,source_equal_campaign_macro_ndcg5,source_equal_campaign_macro_hit5,source_equal_campaign_macro_precision5,source_equal_campaign_macro_recall5,all_row_micro_ndcg5,all_row_micro_hit5,all_row_micro_precision5,all_row_micro_recall5
A0,3,0.14320693475758442,0.3753172263967155,0.08927161429798545,0.18397979404146314,0.17783195622526843,0.45408163265306123,0.10816326530612244,0.21556122448979592
CO,3,0.03074197543149934,0.10164915638000525,0.021709649870105357,0.04614178123559593,0.037845084874607846,0.12627551020408162,0.027551020408163263,0.05463435374149659
A,3,0.15219556450539298,0.3972818672569767,0.08873972500695133,0.19175459420216065,0.1677101598749183,0.43494897959183676,0.09923469387755103,0.20280612244897958
K,3,0.1777143492829447,0.42345187297940706,0.09339250540137665,0.2199569258576323,0.16815560700962107,0.41964285714285715,0.09387755102040815,0.19323979591836735
T,3,0.15860362137601788,0.419901223209666,0.09449816409872376,0.20511469089559067,0.1682209685671583,0.4375,0.1,0.20344387755102042
