held_out_source,method,campaigns,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
ctid,HM,10,0.1202055792458718,0.37095457973700385,0.08448115842659838,0.1536672704243707
attack_flow,HM,35,0.14698600214509988,0.40098491191348334,0.08353596403596404,0.16677729942015657
stockpile,HM,27,0.10628888948756796,0.2977696686030019,0.060047760881094224,0.15746786649564426
ctid,HM+S,10,0.1202055792458718,0.37095457973700385,0.08448115842659838,0.1536672704243707
attack_flow,HM+S,35,0.14698600214509988,0.40098491191348334,0.08353596403596404,0.16677729942015657
stockpile,HM+S,27,0.06453914819604782,0.2047119547119547,0.040942390942390945,0.11352073852073852
ctid,HM+T,10,0.1202055792458718,0.37095457973700385,0.08448115842659838,0.1536672704243707
attack_flow,HM+T,35,0.14698600214509988,0.40098491191348334,0.08353596403596404,0.16677729942015657
stockpile,HM+T,27,0.10628888948756796,0.2977696686030019,0.060047760881094224,0.15746786649564426
ctid,HM+ST,10,0.1414199273880577,0.4121121178602817,0.09427244691591964,0.17151946408956725
attack_flow,HM+ST,35,0.14698600214509988,0.40098491191348334,0.08353596403596404,0.16677729942015657
stockpile,HM+ST,27,0.06453914819604782,0.2047119547119547,0.040942390942390945,0.11352073852073852
