held_out_source,method,stratum,group,rows,campaigns,inferentially_eligible,campaign_macro_ndcg5,campaign_macro_hit5,campaign_macro_precision5,campaign_macro_recall5
attack_flow,HM+S,transition_visibility,mixed,127,32,1,0.23609622972230132,0.6341363324175824,0.13123660714285715,0.24438539758852257
attack_flow,HM+S,target_label_visibility,all_seen,231,33,1,0.17806764570476818,0.45908393881349985,0.09543707585667227,0.22298255481096477
attack_flow,HM+S,target_label_visibility,all_unseen,9,7,0,0.0,0.0,0.0,0.0
attack_flow,HM+S,target_label_visibility,mixed,172,32,1,0.12787204122574078,0.3596511994949495,0.0731802398989899,0.12860412157287157
attack_flow,HM+S,text_length,ge40,379,35,1,0.14813523501811693,0.40514187321352296,0.08458828642486316,0.1690462389593305
attack_flow,HM+S,text_length,lt40,33,18,1,0.18241542036493755,0.47962962962962963,0.09592592592592593,0.21203703703703702
attack_flow,HM+S,target_size,1,37,34,1,0.11744696069013262,0.2088235294117647,0.04176470588235295,0.2088235294117647
attack_flow,HM+S,target_size,2,84,34,1,0.1680335558384571,0.37434389140271496,0.07800603318250376,0.19501508295625944
attack_flow,HM+S,target_size,3,291,35,1,0.15481513901842656,0.46708156689249125,0.09706024004007198,0.16176706673345329
attack_flow,HM+T,transition_visibility,all_seen,24,13,1,0.24409216579115928,0.5525641025641026,0.12666666666666668,0.3155982905982906
attack_flow,HM+T,transition_visibility,all_unseen,261,35,1,0.09842669294982666,0.29069659378903073,0.05927129154692181,0.12108910028657928
attack_flow,HM+T,transition_visibility,mixed,127,32,1,0.23609622972230132,0.6341363324175824,0.13123660714285715,0.24438539758852257
attack_flow,HM+T,target_label_visibility,all_seen,231,33,1,0.17806764570476818,0.45908393881349985,0.09543707585667227,0.22298255481096477
attack_flow,HM+T,target_label_visibility,all_unseen,9,7,0,0.0,0.0,0.0,0.0
attack_flow,HM+T,target_label_visibility,mixed,172,32,1,0.12787204122574078,0.3596511994949495,0.0731802398989899,0.12860412157287157
attack_flow,HM+T,text_length,ge40,379,35,1,0.14813523501811693,0.40514187321352296,0.08458828642486316,0.1690462389593305
attack_flow,HM+T,text_length,lt40,33,18,1,0.18241542036493755,0.47962962962962963,0.09592592592592593,0.21203703703703702
attack_flow,HM+T,target_size,1,37,34,1,0.11744696069013262,0.2088235294117647,0.04176470588235295,0.2088235294117647
attack_flow,HM+T,target_size,2,84,34,1,0.1680335558384571,0.37434389140271496,0.07800603318250376,0.19501508295625944
attack_flow,HM+T,target_size,3,291,35,1,0.15481513901842656,0.46708156689249125,0.09706024004007198,0.16176706673345329
attack_flow,HM+ST,transition_visibility,all_seen,24,13,1,0.24409216579115928,0.5525641025641026,0.12666666666666668,0.3155982905982906
attack_flow,HM+ST,transition_visibility,all_unseen,261,35,1,0.09842669294982666,0.29069659378903073,0.05927129154692181,0.12108910028657928
attack_flow,HM+ST,transition_visibility,mixed,127,32,1,0.23609622972230132,0.6341363324175824,0.13123660714285715,0.24438539758852257
attack_flow,HM+ST,target_label_visibility,all_seen,231,33,1,0.17806764570476818,0.45908393881349985,0.09543707585667227,0.22298255481096477
attack_flow,HM+ST,target_label_visibility,all_unseen,9,7,0,0.0,0.0,0.0,0.0
attack_flow,HM+ST,target_label_visibility,mixed,172,32,1,0.12787204122574078,0.3596511994949495,0.0731802398989899,0.12860412157287157
attack_flow,HM+ST,text_length,ge40,379,35,1,0.14813523501811693,0.40514187321352296,0.08458828642486316,0.1690462389593305
attack_flow,HM+ST,text_length,lt40,33,18,1,0.18241542036493755,0.47962962962962963,0.09592592592592593,0.21203703703703702
attack_flow,HM+ST,target_size,1,37,34,1,0.11744696069013262,0.2088235294117647,0.04176470588235295,0.2088235294117647
attack_flow,HM+ST,target_size,2,84,34,1,0.1680335558384571,0.37434389140271496,0.07800603318250376,0.19501508295625944
attack_flow,HM+ST,target_size,3,291,35,1,0.15481513901842656,0.46708156689249125,0.09706024004007198,0.16176706673345329
stockpile,HM,transition_visibility,all_seen,31,20,1,0.10846108909083481,0.21857142857142858,0.04371428571428572,0.14857142857142858
stockpile,HM,transition_visibility,all_unseen,36,17,1,0.046971180873197155,0.125,0.025,0.09558823529411764
stockpile,HM,transition_visibility,mixed,42,17,1,0.19220525648690656,0.6073529411764705,0.12382352941176474,0.2611928104575163
stockpile,HM,target_label_visibility,all_seen,100,27,1,0.10868770890122131,0.3040536623869957,0.06130455963789298,0.1603638131415909
stockpile,HM,target_label_visibility,all_unseen,1,1,0,0.0,0.0,0.0,0.0
stockpile,HM,target_label_visibility,mixed,8,3,0,0.0,0.0,0.0,0.0
