method,held_out_source,inner_validation_source,seed,epoch,w_h,w_s,w_t,campaign_macro_ndcg5,five_seed_two_source_mean_ndcg5,selected,training_rows,validation_rows
HM+ST,attack_flow,ctid,42,100,0.2,0.5,0.3,0.1182705608929425,0.10842153333964547,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.5,0.4,0.10976652403076362,0.10408789321651819,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.5,0.5,0.10619749982229632,0.09761907134247298,0,109,263
HM+ST,attack_flow,ctid,42,100,0.4,0.6,0.0,0.11315893694299387,0.1124335243407846,0,109,263
HM+ST,attack_flow,ctid,42,100,0.3,0.6,0.1,0.11489806069580832,0.11182999381849945,0,109,263
HM+ST,attack_flow,ctid,42,100,0.2,0.6,0.2,0.11988133643150864,0.11002373547525605,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.6,0.3,0.12429353586779106,0.10714982088701068,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.6,0.4,0.11252488890409007,0.10361408469179681,0,109,263
HM+ST,attack_flow,ctid,42,100,0.3,0.7,0.0,0.12647513396684612,0.10675515152230106,0,109,263
HM+ST,attack_flow,ctid,42,100,0.2,0.7,0.1,0.1225733329035114,0.10221827708169433,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.7,0.2,0.11921518519128656,0.1017178947057106,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.7,0.3,0.12331944402244326,0.10691180429826978,0,109,263
HM+ST,attack_flow,ctid,42,100,0.2,0.8,0.0,0.1261925822633904,0.10541064309925996,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.8,0.1,0.12118778779856387,0.10270158951058625,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.8,0.2,0.12459009736644999,0.10420946093274261,0,109,263
HM+ST,attack_flow,ctid,42,100,0.1,0.9,0.0,0.12708167246017982,0.10756346016516563,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,0.9,0.1,0.12427725857691471,0.10307957697637468,0,109,263
HM+ST,attack_flow,ctid,42,100,0.0,1.0,0.0,0.1284909641369278,0.10499041443912278,0,109,263
HM+ST,attack_flow,ctid,42,20,1.0,0.0,0.0,0.10632013574118082,0.12909526090771803,1,109,263
HM+ST,attack_flow,ctid,42,20,0.9,0.0,0.1,0.102007128914993,0.11509643374842748,0,109,263
HM+ST,attack_flow,ctid,42,20,0.8,0.0,0.2,0.10298769512046024,0.10960567846070787,0,109,263
HM+ST,attack_flow,ctid,42,20,0.7,0.0,0.3,0.09508915174733851,0.10115319875389986,0,109,263
HM+ST,attack_flow,ctid,42,20,0.6,0.0,0.4,0.09315864493247496,0.09390493175167733,0,109,263
HM+ST,attack_flow,ctid,42,20,0.5,0.0,0.5,0.09145762316230197,0.09120188099446488,0,109,263
HM+ST,attack_flow,ctid,42,20,0.4,0.0,0.6,0.09092416058595049,0.08901661566646062,0,109,263
HM+ST,attack_flow,ctid,42,20,0.3,0.0,0.7,0.09224732282890744,0.08630116514142908,0,109,263
HM+ST,attack_flow,ctid,42,20,0.2,0.0,0.8,0.08940005883677438,0.08512694015056109,0,109,263
HM+ST,attack_flow,ctid,42,20,0.1,0.0,0.9,0.08420133481911152,0.07801023615236924,0,109,263
HM+ST,attack_flow,ctid,42,20,0.0,0.0,1.0,0.05587796612221768,0.05119451025884521,0,109,263
HM+ST,attack_flow,ctid,42,20,0.9,0.1,0.0,0.10462322523810522,0.11534710805836265,0,109,263
HM+ST,attack_flow,ctid,42,20,0.8,0.1,0.1,0.09626597872510531,0.11395010759492978,0,109,263
HM+ST,attack_flow,ctid,42,20,0.7,0.1,0.2,0.1017509679203001,0.10818184105421476,0,109,263
HM+ST,attack_flow,ctid,42,20,0.6,0.1,0.3,0.09194734681981173,0.0966445609869179,0,109,263
HM+ST,attack_flow,ctid,42,20,0.5,0.1,0.4,0.08802523570287202,0.09422345912275494,0,109,263
HM+ST,attack_flow,ctid,42,20,0.4,0.1,0.5,0.08699217748321117,0.08787719438012578,0,109,263
HM+ST,attack_flow,ctid,42,20,0.3,0.1,0.6,0.08617779271870131,0.08550765009865713,0,109,263
HM+ST,attack_flow,ctid,42,20,0.2,0.1,0.7,0.09009496411195896,0.08552159400874461,0,109,263
HM+ST,attack_flow,ctid,42,20,0.1,0.1,0.8,0.09359552849090326,0.08466175870169754,0,109,263
HM+ST,attack_flow,ctid,42,20,0.0,0.1,0.9,0.09414424468430756,0.08536963989828626,0,109,263
HM+ST,attack_flow,ctid,42,20,0.8,0.2,0.0,0.10067173761990818,0.11247259736143349,0,109,263
HM+ST,attack_flow,ctid,42,20,0.7,0.2,0.1,0.09163143544268688,0.10933718100887029,0,109,263
HM+ST,attack_flow,ctid,42,20,0.6,0.2,0.2,0.10025487701739885,0.10442647595122703,0,109,263
HM+ST,attack_flow,ctid,42,20,0.5,0.2,0.3,0.0898135371713715,0.09664260094450094,0,109,263
HM+ST,attack_flow,ctid,42,20,0.4,0.2,0.4,0.09251548047293759,0.0915368398044912,0,109,263
HM+ST,attack_flow,ctid,42,20,0.3,0.2,0.5,0.09404648760020876,0.08659920015112132,0,109,263
HM+ST,attack_flow,ctid,42,20,0.2,0.2,0.6,0.09463585800574752,0.08371686471386033,0,109,263
HM+ST,attack_flow,ctid,42,20,0.1,0.2,0.7,0.09442970058076966,0.08453201388073571,0,109,263
HM+ST,attack_flow,ctid,42,20,0.0,0.2,0.8,0.09978431185701585,0.08850708127971832,0,109,263
HM+ST,attack_flow,ctid,42,20,0.7,0.3,0.0,0.10268676429941073,0.10837239173017973,0,109,263
HM+ST,attack_flow,ctid,42,20,0.6,0.3,0.1,0.09704055665701218,0.10549263838926885,0,109,263
HM+ST,attack_flow,ctid,42,20,0.5,0.3,0.2,0.10098832099636823,0.09706662619634103,0,109,263
HM+ST,attack_flow,ctid,42,20,0.4,0.3,0.3,0.09628640612088987,0.09268188648677504,0,109,263
HM+ST,attack_flow,ctid,42,20,0.3,0.3,0.4,0.09985544705114198,0.0905471530592842,0,109,263
HM+ST,attack_flow,ctid,42,20,0.2,0.3,0.5,0.10213599304348678,0.08671474463099335,0,109,263
HM+ST,attack_flow,ctid,42,20,0.1,0.3,0.6,0.09904295967714932,0.08612646895999326,0,109,263
HM+ST,attack_flow,ctid,42,20,0.0,0.3,0.7,0.10364612472519963,0.08829915082001032,0,109,263
HM+ST,attack_flow,ctid,42,20,0.6,0.4,0.0,0.09889941983049706,0.09994928732413949,0,109,263
HM+ST,attack_flow,ctid,42,20,0.5,0.4,0.1,0.10761158668745648,0.09710075549407526,0,109,263
HM+ST,attack_flow,ctid,42,20,0.4,0.4,0.2,0.10873786696141355,0.09588419989021045,0,109,263
HM+ST,attack_flow,ctid,42,20,0.3,0.4,0.3,0.10364292216460139,0.09232533960626933,0,109,263
HM+ST,attack_flow,ctid,42,20,0.2,0.4,0.4,0.10075814261128732,0.08719000633789599,0,109,263
HM+ST,attack_flow,ctid,42,20,0.1,0.4,0.5,0.09848611994101339,0.08433795673661301,0,109,263
HM+ST,attack_flow,ctid,42,20,0.0,0.4,0.6,0.10371094649863026,0.08882362011314755,0,109,263
HM+ST,attack_flow,ctid,42,20,0.5,0.5,0.0,0.10656885615178271,0.08819575163873514,0,109,263
HM+ST,attack_flow,ctid,42,20,0.4,0.5,0.1,0.11400114725295518,0.08885457806342408,0,109,263
HM+ST,attack_flow,ctid,42,20,0.3,0.5,0.2,0.11204421293006199,0.0937502011242093,0,109,263
HM+ST,attack_flow,ctid,42,20,0.2,0.5,0.3,0.10859269586450485,0.09028349188830039,0,109,263
HM+ST,attack_flow,ctid,42,20,0.1,0.5,0.4,0.10069739314599328,0.07907911949816435,0,109,263
HM+ST,attack_flow,ctid,42,20,0.0,0.5,0.5,0.10478086439937166,0.08798283705340955,0,109,263
HM+ST,attack_flow,ctid,42,20,0.4,0.6,0.0,0.11211665442373486,0.0911491621679181,0,109,263
HM+ST,attack_flow,ctid,42,20,0.3,0.6,0.1,0.11446202858833468,0.08941647254242169,0,109,263
HM+ST,attack_flow,ctid,42,20,0.2,0.6,0.2,0.11610205425330686,0.08435646018317342,0,109,263
HM+ST,attack_flow,ctid,42,20,0.1,0.6,0.3,0.1055466010703168,0.08100816698584606,0,109,263
HM+ST,attack_flow,ctid,42,20,0.0,0.6,0.4,0.10623570267285451,0.08870377384588432,0,109,263
HM+ST,attack_flow,ctid,42,20,0.3,0.7,0.0,0.11670773109387925,0.09496398511186688,0,109,263
HM+ST,attack_flow,ctid,42,20,0.2,0.7,0.1,0.1144242868129027,0.08813884411642482,0,109,263
HM+ST,attack_flow,ctid,42,20,0.1,0.7,0.2,0.11431989646624023,0.08760851168503506,0,109,263
HM+ST,attack_flow,ctid,42,20,0.0,0.7,0.3,0.11117090482815259,0.09015061844423274,0,109,263
HM+ST,attack_flow,ctid,42,20,0.2,0.8,0.0,0.11612009388501546,0.09365981128702702,0,109,263
HM+ST,attack_flow,ctid,42,20,0.1,0.8,0.1,0.11246852796449694,0.08805314963200647,0,109,263
HM+ST,attack_flow,ctid,42,20,0.0,0.8,0.2,0.11495717826835752,0.08663119187636528,0,109,263
HM+ST,attack_flow,ctid,42,20,0.1,0.9,0.0,0.11116785824289584,0.09126296822894123,0,109,263
HM+ST,attack_flow,ctid,42,20,0.0,0.9,0.1,0.11023857633210825,0.08633744929350531,0,109,263
HM+ST,attack_flow,ctid,42,20,0.0,1.0,0.0,0.11087016178992246,0.09340009972249218,0,109,263
HM+ST,attack_flow,ctid,42,40,1.0,0.0,0.0,0.10632013574118082,0.12909526090771803,0,109,263
HM+ST,attack_flow,ctid,42,40,0.9,0.0,0.1,0.102007128914993,0.11509643374842748,0,109,263
HM+ST,attack_flow,ctid,42,40,0.8,0.0,0.2,0.10298769512046024,0.10960567846070787,0,109,263
HM+ST,attack_flow,ctid,42,40,0.7,0.0,0.3,0.09508915174733851,0.10115319875389986,0,109,263
HM+ST,attack_flow,ctid,42,40,0.6,0.0,0.4,0.09315864493247496,0.09390493175167733,0,109,263
HM+ST,attack_flow,ctid,42,40,0.5,0.0,0.5,0.09145762316230197,0.09120188099446488,0,109,263
HM+ST,attack_flow,ctid,42,40,0.4,0.0,0.6,0.09092416058595049,0.08901661566646062,0,109,263
HM+ST,attack_flow,ctid,42,40,0.3,0.0,0.7,0.09224732282890744,0.08630116514142908,0,109,263
HM+ST,attack_flow,ctid,42,40,0.2,0.0,0.8,0.08940005883677438,0.08512694015056109,0,109,263
HM+ST,attack_flow,ctid,42,40,0.1,0.0,0.9,0.08420133481911152,0.07801023615236924,0,109,263
HM+ST,attack_flow,ctid,42,40,0.0,0.0,1.0,0.05587796612221768,0.05119451025884521,0,109,263
HM+ST,attack_flow,ctid,42,40,0.9,0.1,0.0,0.10437076517454795,0.11634609433431713,0,109,263
HM+ST,attack_flow,ctid,42,40,0.8,0.1,0.1,0.0987399271438921,0.11525613180148189,0,109,263
HM+ST,attack_flow,ctid,42,40,0.7,0.1,0.2,0.09774321262735869,0.11008071047802201,0,109,263
HM+ST,attack_flow,ctid,42,40,0.6,0.1,0.3,0.09475979557612244,0.09759759179589508,0,109,263
HM+ST,attack_flow,ctid,42,40,0.5,0.1,0.4,0.08689375001246566,0.09498373437054086,0,109,263
HM+ST,attack_flow,ctid,42,40,0.4,0.1,0.5,0.08444876111984076,0.08931843516236926,0,109,263
HM+ST,attack_flow,ctid,42,40,0.3,0.1,0.6,0.08788596040743668,0.08635828294931273,0,109,263
HM+ST,attack_flow,ctid,42,40,0.2,0.1,0.7,0.08918430090051885,0.0855511927280849,0,109,263
HM+ST,attack_flow,ctid,42,40,0.1,0.1,0.8,0.09089073271787915,0.08774465911310717,0,109,263
HM+ST,attack_flow,ctid,42,40,0.0,0.1,0.9,0.09364418665959495,0.09353832625321387,0,109,263
HM+ST,attack_flow,ctid,42,40,0.8,0.2,0.0,0.10295173945601026,0.11597439819251001,0,109,263
HM+ST,attack_flow,ctid,42,40,0.7,0.2,0.1,0.09380732486380702,0.11356540165727742,0,109,263
HM+ST,attack_flow,ctid,42,40,0.6,0.2,0.2,0.09645178184086349,0.1064265414655162,0,109,263
HM+ST,attack_flow,ctid,42,40,0.5,0.2,0.3,0.09731207665054423,0.09855379489784907,0,109,263
HM+ST,attack_flow,ctid,42,40,0.4,0.2,0.4,0.09142862667037006,0.09217394885698157,0,109,263
HM+ST,attack_flow,ctid,42,40,0.3,0.2,0.5,0.09021643375215906,0.08880929771640514,0,109,263
HM+ST,attack_flow,ctid,42,40,0.2,0.2,0.6,0.09435835072700408,0.08779067993074002,0,109,263
HM+ST,attack_flow,ctid,42,40,0.1,0.2,0.7,0.09083792706204366,0.08733090578867744,0,109,263
HM+ST,attack_flow,ctid,42,40,0.0,0.2,0.8,0.09747972574177068,0.09682593934466589,0,109,263
HM+ST,attack_flow,ctid,42,40,0.7,0.3,0.0,0.1055942214749787,0.11473086636400083,0,109,263
HM+ST,attack_flow,ctid,42,40,0.6,0.3,0.1,0.09546835489310271,0.10962166994525088,0,109,263
HM+ST,attack_flow,ctid,42,40,0.5,0.3,0.2,0.1004638077714943,0.1004042540660881,0,109,263
HM+ST,attack_flow,ctid,42,40,0.4,0.3,0.3,0.10515189825800908,0.0982923201455139,0,109,263
HM+ST,attack_flow,ctid,42,40,0.3,0.3,0.4,0.09814473499756951,0.09344222485423102,0,109,263
HM+ST,attack_flow,ctid,42,40,0.2,0.3,0.5,0.09621889757179818,0.08827206097615606,0,109,263
HM+ST,attack_flow,ctid,42,40,0.1,0.3,0.6,0.09133271591133303,0.08596627978409488,0,109,263
HM+ST,attack_flow,ctid,42,40,0.0,0.3,0.7,0.10003813123796826,0.09621225716315158,0,109,263
HM+ST,attack_flow,ctid,42,40,0.6,0.4,0.0,0.10508587956008783,0.10576282106911009,0,109,263
HM+ST,attack_flow,ctid,42,40,0.5,0.4,0.1,0.10134036131675139,0.10314843907176086,0,109,263
HM+ST,attack_flow,ctid,42,40,0.4,0.4,0.2,0.10676989714248217,0.10067336337822355,0,109,263
HM+ST,attack_flow,ctid,42,40,0.3,0.4,0.3,0.10980133627619107,0.09757344898027877,0,109,263
HM+ST,attack_flow,ctid,42,40,0.2,0.4,0.4,0.10206562121517553,0.09088504960899234,0,109,263
HM+ST,attack_flow,ctid,42,40,0.1,0.4,0.5,0.09322016801598364,0.08874621902765725,0,109,263
HM+ST,attack_flow,ctid,42,40,0.0,0.4,0.6,0.10449512986808271,0.09589638468428005,0,109,263
HM+ST,attack_flow,ctid,42,40,0.5,0.5,0.0,0.11427625644702004,0.10014930579417751,0,109,263
HM+ST,attack_flow,ctid,42,40,0.4,0.5,0.1,0.11003305387644355,0.09925042588520964,0,109,263
HM+ST,attack_flow,ctid,42,40,0.3,0.5,0.2,0.11322014366712016,0.09924699225107828,0,109,263
HM+ST,attack_flow,ctid,42,40,0.2,0.5,0.3,0.10794653959547724,0.09599865836560892,0,109,263
HM+ST,attack_flow,ctid,42,40,0.1,0.5,0.4,0.10385496759644723,0.09075906987244003,0,109,263
HM+ST,attack_flow,ctid,42,40,0.0,0.5,0.5,0.10298274126842452,0.09419183361802705,0,109,263
HM+ST,attack_flow,ctid,42,40,0.4,0.6,0.0,0.11583452445469009,0.09460459431376436,0,109,263
HM+ST,attack_flow,ctid,42,40,0.3,0.6,0.1,0.11276178089222619,0.08847469838357438,0,109,263
HM+ST,attack_flow,ctid,42,40,0.2,0.6,0.2,0.11335745473146272,0.0864227153580426,0,109,263
HM+ST,attack_flow,ctid,42,40,0.1,0.6,0.3,0.10998519295669998,0.08642626790662242,0,109,263
HM+ST,attack_flow,ctid,42,40,0.0,0.6,0.4,0.11357403091098935,0.09832913555043159,0,109,263
HM+ST,attack_flow,ctid,42,40,0.3,0.7,0.0,0.12168122193280514,0.09526557985010313,0,109,263
HM+ST,attack_flow,ctid,42,40,0.2,0.7,0.1,0.11239973284769585,0.09088447691910988,0,109,263
HM+ST,attack_flow,ctid,42,40,0.1,0.7,0.2,0.10991908691348504,0.08558850023118997,0,109,263
HM+ST,attack_flow,ctid,42,40,0.0,0.7,0.3,0.11796500032552593,0.09498004415041564,0,109,263
HM+ST,attack_flow,ctid,42,40,0.2,0.8,0.0,0.1193926042636819,0.09288745420161201,0,109,263
HM+ST,attack_flow,ctid,42,40,0.1,0.8,0.1,0.1147477802831887,0.09118550165237517,0,109,263
HM+ST,attack_flow,ctid,42,40,0.0,0.8,0.2,0.12635821449882412,0.09133421848513062,0,109,263
HM+ST,attack_flow,ctid,42,40,0.1,0.9,0.0,0.11878350779147544,0.09394938442326677,0,109,263
HM+ST,attack_flow,ctid,42,40,0.0,0.9,0.1,0.12934794531127003,0.09332834869576995,0,109,263
HM+ST,attack_flow,ctid,42,40,0.0,1.0,0.0,0.12954138366895834,0.0960989589544065,0,109,263
HM+ST,attack_flow,ctid,42,60,1.0,0.0,0.0,0.10632013574118082,0.12909526090771803,0,109,263
HM+ST,attack_flow,ctid,42,60,0.9,0.0,0.1,0.102007128914993,0.11509643374842748,0,109,263
HM+ST,attack_flow,ctid,42,60,0.8,0.0,0.2,0.10298769512046024,0.10960567846070787,0,109,263
HM+ST,attack_flow,ctid,42,60,0.7,0.0,0.3,0.09508915174733851,0.10115319875389986,0,109,263
HM+ST,attack_flow,ctid,42,60,0.6,0.0,0.4,0.09315864493247496,0.09390493175167733,0,109,263
HM+ST,attack_flow,ctid,42,60,0.5,0.0,0.5,0.09145762316230197,0.09120188099446488,0,109,263
HM+ST,attack_flow,ctid,42,60,0.4,0.0,0.6,0.09092416058595049,0.08901661566646062,0,109,263
HM+ST,attack_flow,ctid,42,60,0.3,0.0,0.7,0.09224732282890744,0.08630116514142908,0,109,263
HM+ST,attack_flow,ctid,42,60,0.2,0.0,0.8,0.08940005883677438,0.08512694015056109,0,109,263
HM+ST,attack_flow,ctid,42,60,0.1,0.0,0.9,0.08420133481911152,0.07801023615236924,0,109,263
HM+ST,attack_flow,ctid,42,60,0.0,0.0,1.0,0.05587796612221768,0.05119451025884521,0,109,263
HM+ST,attack_flow,ctid,42,60,0.9,0.1,0.0,0.10504444318397858,0.11683849280334657,0,109,263
HM+ST,attack_flow,ctid,42,60,0.8,0.1,0.1,0.10095199332346012,0.11652539474012562,0,109,263
HM+ST,attack_flow,ctid,42,60,0.7,0.1,0.2,0.10103232643590723,0.11043263725580313,0,109,263
HM+ST,attack_flow,ctid,42,60,0.6,0.1,0.3,0.09662596772123609,0.09764158382868846,0,109,263
HM+ST,attack_flow,ctid,42,60,0.5,0.1,0.4,0.09172937948859436,0.09542062470099387,0,109,263
HM+ST,attack_flow,ctid,42,60,0.4,0.1,0.5,0.08535566406595424,0.08949734745545804,0,109,263
HM+ST,attack_flow,ctid,42,60,0.3,0.1,0.6,0.09022887624031714,0.08820770348857268,0,109,263
HM+ST,attack_flow,ctid,42,60,0.2,0.1,0.7,0.08907261742280682,0.0863558822734486,0,109,263
HM+ST,attack_flow,ctid,42,60,0.1,0.1,0.8,0.08827391540161023,0.08616152191660767,0,109,263
HM+ST,attack_flow,ctid,42,60,0.0,0.1,0.9,0.09285107274439228,0.0899721951382507,0,109,263
HM+ST,attack_flow,ctid,42,60,0.8,0.2,0.0,0.10513416533339932,0.1160731885563608,0,109,263
HM+ST,attack_flow,ctid,42,60,0.7,0.2,0.1,0.09941874187731044,0.1136128804646835,0,109,263
HM+ST,attack_flow,ctid,42,60,0.6,0.2,0.2,0.09857776743777802,0.10796932921645656,0,109,263
HM+ST,attack_flow,ctid,42,60,0.5,0.2,0.3,0.09554388085135787,0.0991342425009775,0,109,263
HM+ST,attack_flow,ctid,42,60,0.4,0.2,0.4,0.09126974118029026,0.09288700818604056,0,109,263
HM+ST,attack_flow,ctid,42,60,0.3,0.2,0.5,0.09407559578677674,0.0893620602105685,0,109,263
HM+ST,attack_flow,ctid,42,60,0.2,0.2,0.6,0.09442280114947364,0.08835833047272738,0,109,263
HM+ST,attack_flow,ctid,42,60,0.1,0.2,0.7,0.09203310582383188,0.08959931074656255,0,109,263
HM+ST,attack_flow,ctid,42,60,0.0,0.2,0.8,0.09662234447043302,0.0901594951407181,0,109,263
HM+ST,attack_flow,ctid,42,60,0.7,0.3,0.0,0.10391663956057517,0.11375479301847206,0,109,263
HM+ST,attack_flow,ctid,42,60,0.6,0.3,0.1,0.09540081614347358,0.11060226289842542,0,109,263
HM+ST,attack_flow,ctid,42,60,0.5,0.3,0.2,0.09703336628892836,0.1036489076391062,0,109,263
HM+ST,attack_flow,ctid,42,60,0.4,0.3,0.3,0.10199840650067193,0.09835348203334124,0,109,263
HM+ST,attack_flow,ctid,42,60,0.3,0.3,0.4,0.09628135783702887,0.0912559057495524,0,109,263
HM+ST,attack_flow,ctid,42,60,0.2,0.3,0.5,0.0947234940971009,0.08915462459466231,0,109,263
HM+ST,attack_flow,ctid,42,60,0.1,0.3,0.6,0.09266797468299698,0.08870928383130385,0,109,263
HM+ST,attack_flow,ctid,42,60,0.0,0.3,0.7,0.0990632076109743,0.09220401808235638,0,109,263
HM+ST,attack_flow,ctid,42,60,0.6,0.4,0.0,0.10861808039542091,0.1102750829908679,0,109,263
